img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-11.635859,4.815101,-50.054081,7.008563,4.729466,6.956033,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.926618,0.544891,-7.599729,3.588589,2.067977,2.675305,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,5.014666,4.135333,28.130441,11.799259,6.852959,53.068339,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-1.759535,-7.049210,-19.621644,12.299078,8.162614,40.711222,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-6.963393,1.540468,-33.323267,0.300870,0.224937,0.256275,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.934177,-1.062020,-3.784977,2.965182,1.722502,4.902350,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-1.438249,-3.033834,-6.941181,54.948505,34.234409,61.225233,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,5.095420,-1.955179,34.419828,5.562444,4.193299,5.200363,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,-1.628775,5.709807,3.332935,16.800683,9.503336,87.318153,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,3.173767,-1.022340,12.417347,0.373691,0.215845,0.279592,0
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,-0.164652,-0.206690,1.276416,65.796273,39.685805,58.610670,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-1.110722,-2.201830,-4.115270,30.149884,17.749064,50.956658,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.816286,1.060295,-22.857387,3.967115,2.561648,2.981342,0
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-150.536837,163.499493,-0.341027,147.780591,126.846738,36.317611,1
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,165.444106,-54.064656,18.187586,166.218854,113.516467,84.005115,1
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,3.243413,-10.799583,-14.063236,22.637890,14.597777,26.857982,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-2.964567,-1.328359,-16.494629,3.190641,1.937638,2.809472,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.421888,-1.911416,16.322170,0.893947,0.506770,1.964796,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,11.497708,3.653990,50.761744,2.521375,2.273741,1.968029,0
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.537672,-0.228347,-4.694308,1.221011,0.724217,5.231953,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-1.170953,-1.653549,-2.643981,7.848108,4.562812,34.576095,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.258963,1.648838,-28.904721,2.045565,1.212159,1.453214,0
20260121172155.JPG,20260121172210.JPG,2.586306,0.460391,13.891059,2.590775,0.120841,12.811595,1.131925,0.653339,0.869799,0
20260121172057.JPG,20260121172118.JPG,-5.730474,2.882077,-21.528430,-1.783832,0.221445,-4.360071,17.678041,10.286034,56.125667,0
20260121152644.JPG,20260121172151.JPG,0.394544,3.188229,0.683909,0.373876,1.651271,2.683406,2.521616,1.456097,18.282648,1
20260121152638.JPG,20260121172057.JPG,12.891375,7.164342,50.296084,11.477038,4.245464,50.756812,2.087782,1.891425,1.980309,0
20260121172022.JPG,20260121172219.JPG,-4.071383,2.018837,-21.453486,-1.918719,-2.739644,-20.677672,4.529072,3.048442,5.317599,0
20260121152658.JPG,20260121152708.JPG,-3.342561,1.086888,-21.588871,-2.892705,0.614164,-18.090439,3.538412,2.054659,1.318249,0
20260121172057.JPG,20260121172201.JPG,-7.098818,4.507842,-26.071616,-4.174387,-3.792678,-20.079737,9.707376,6.146911,16.352324,0
20260121152631.JPG,20260121152644.JPG,-4.174970,-2.706613,-29.297042,-3.419586,-3.089958,-24.992298,4.357035,2.533007,1.470655,0
20260121172035.JPG,20260121172151.JPG,-10.215473,4.861906,-40.176881,-7.420589,0.118645,-40.473296,3.638327,3.183173,3.055501,0
