img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-11.594471,4.802173,-49.671192,6.671185,4.573272,6.779600,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.843264,0.412825,-7.339720,3.802322,2.189932,2.646830,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,3.203294,0.460228,18.423792,3.270409,1.675521,17.067414,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-6.131881,0.084983,-22.663610,5.071530,3.133546,12.760339,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-7.067232,1.473734,-33.520876,0.333814,0.219137,0.538914,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.897167,-0.234835,-4.905195,1.636450,0.959703,2.489888,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-1.372805,-3.044140,-6.946535,54.955377,34.247109,61.217652,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,5.966106,0.362597,32.617250,3.940116,2.901231,3.281743,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,-2.711491,5.260360,3.405551,17.023759,9.615105,84.912994,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,-0.436199,-2.020665,12.599303,3.606247,2.203893,42.206766,1
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,24.645863,19.183093,66.780371,3.221531,4.132910,2.309388,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-7.561633,1.187776,-37.584568,5.187046,3.300108,5.033589,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.665767,0.746257,-23.019366,4.068398,2.666909,3.303003,0
