img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-3.666269,-1.971482,-14.350648,31.294481,19.173741,53.212477,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.602956,-0.083637,-7.164506,3.890295,2.240215,2.542999,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,3.306794,0.396411,18.932255,3.259574,1.686927,16.849510,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-6.347952,0.398375,-22.367436,4.975780,3.024436,11.475344,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-7.064420,1.554315,-33.434605,0.257860,0.175945,0.328908,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.928641,-0.141446,-4.926178,1.544785,0.905229,2.389392,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-28.727711,22.711113,-58.835001,3.901763,5.544924,3.636797,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,7.768091,4.860161,32.217093,1.960849,1.125661,2.044548,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,3.808276,0.699847,17.791469,0.735147,0.392322,2.317165,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,3.291497,-1.519024,12.373501,0.625331,0.352233,0.692193,0
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,21.475747,14.138612,66.341525,1.092677,0.848241,0.603916,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-9.332532,4.218545,-36.680310,3.623576,2.090857,2.322425,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-5.102682,1.648740,-22.786869,3.658871,2.308751,2.359787,0
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-6.201018,33.033543,-25.860354,31.970117,18.640495,89.080431,1
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,-7.523963,1.971536,-13.300596,27.843112,16.322634,63.062732,1
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,-6.783594,2.373084,-28.465568,3.396017,2.041287,1.610651,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-3.468520,0.582882,-17.609771,1.223619,0.723158,0.214096,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.153129,0.335579,17.756274,3.610138,2.037199,7.944668,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,14.161556,8.072009,53.512698,3.085674,1.904040,0.619231,0
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.541635,-0.098000,-4.757349,1.347647,0.797782,5.978899,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-2.315121,-0.878663,-10.562552,1.405811,0.881694,6.354927,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.402274,1.849025,-29.022428,1.885618,1.101751,1.541705,0
20260121172155.JPG,20260121172210.JPG,2.586306,0.460391,13.891059,2.538325,-0.010256,13.884965,0.461527,0.273159,1.128458,0
20260121172057.JPG,20260121172118.JPG,-5.730474,2.882077,-21.528430,-4.996563,0.873429,-24.093643,3.163804,1.928178,5.131715,0
20260121152644.JPG,20260121172151.JPG,0.394544,3.188229,0.683909,0.224871,-0.409473,3.442373,4.531545,2.619247,16.672386,1
20260121152638.JPG,20260121172057.JPG,12.891375,7.164342,50.296084,11.491416,4.415700,50.333800,1.895687,1.781043,1.785917,0
20260121172022.JPG,20260121172219.JPG,-4.071383,2.018837,-21.453486,-3.998815,0.769080,-21.381736,1.227222,0.723949,1.901078,0
20260121152658.JPG,20260121152708.JPG,-3.342561,1.086888,-21.588871,-2.856628,0.936797,-18.072726,3.545752,2.051173,0.974838,0
20260121172057.JPG,20260121172201.JPG,-7.098818,4.507842,-26.071616,-6.255725,0.648378,-21.699355,5.663871,3.402104,8.121015,0
20260121152631.JPG,20260121152644.JPG,-4.174970,-2.706613,-29.297042,-5.032439,0.575295,-25.405268,4.905214,2.980608,2.538591,0
20260121172035.JPG,20260121172151.JPG,-10.215473,4.861906,-40.176881,-14.160834,10.922533,-41.366141,4.740284,4.231288,3.095047,0
20260121172027.JPG,20260121172057.JPG,-5.623080,2.614731,-22.689622,-4.435247,1.201399,-25.001924,2.719775,1.708331,7.497276,0
20260121172007.JPG,20260121172219.JPG,-1.354959,-1.302945,-11.050062,-2.067110,0.429741,-10.962172,1.745249,1.082756,2.628798,0
20260121172013.JPG,20260121172226.JPG,-8.670362,4.631258,-32.134874,-3.627272,-8.459346,-15.318631,20.609635,12.643611,20.717833,0
20260121172118.JPG,20260121172146.JPG,-2.378762,-1.305195,-13.373273,-1.927511,0.257245,-9.830130,3.934651,2.250830,4.675790,0
20260121152708.JPG,20260121172027.JPG,10.058210,1.694126,46.559227,10.263039,-3.573577,41.196911,7.617156,4.341470,10.032957,0
20260121152631.JPG,20260121172146.JPG,-7.297163,0.791076,-34.643400,-2.534903,-9.741702,-32.974514,8.973728,6.742990,5.389828,0
20260121172118.JPG,20260121172201.JPG,-0.752630,1.002311,-4.674287,0.007123,-0.003010,-1.365772,3.528912,2.044029,10.920746,0
20260121172017.JPG,20260121172219.JPG,-4.351162,1.286611,-21.745218,-5.656066,15.751252,1.982938,27.647684,16.061901,53.779014,1
20260121172022.JPG,20260121172226.JPG,-4.410777,2.694155,-22.305913,-5.560870,0.292073,-14.224744,8.609251,4.912501,5.785248,0
20260121172017.JPG,20260121172052.JPG,0.745437,-1.467544,-3.746434,-0.307272,-0.020260,-2.279104,2.279363,1.336149,6.825117,0
20260121172013.JPG,20260121172110.JPG,-6.795079,3.290017,-24.323172,-5.150244,1.024764,-22.076026,3.154274,2.072560,7.417839,0
20260121172110.JPG,20260121172226.JPG,-1.253710,0.207591,-7.897613,-1.171422,0.113883,-5.474149,2.426299,1.401038,5.893651,0
20260121172201.JPG,20260121172210.JPG,2.477734,-1.562775,10.138577,2.236643,-0.024411,10.776528,1.722289,0.971540,32.264710,0
20260121152638.JPG,20260121152644.JPG,3.147524,-0.243530,21.201967,4.367488,1.244775,25.318096,4.382907,2.623350,3.125420,0
20260121172007.JPG,20260121172146.JPG,-9.063122,2.013966,-39.792440,-8.826448,2.444395,-38.715877,1.236602,0.683196,1.120074,0
20260121152708.JPG,20260121172102.JPG,4.238059,0.071860,23.960980,3.739098,0.517824,19.787367,4.246473,2.440416,2.580602,0
20260121152708.JPG,20260121172110.JPG,4.315584,0.615014,24.547630,3.598031,0.457126,20.249803,4.350231,2.517348,1.070528,0
20260121152638.JPG,20260121152658.JPG,11.728360,6.782324,48.158896,8.757354,0.433542,49.428408,4.728351,4.112808,4.041202,0
20260121152631.JPG,20260121172027.JPG,5.875189,-1.727360,23.189900,-0.565169,3.139812,2.352226,22.639961,12.901889,32.223568,1
20260121172022.JPG,20260121172027.JPG,2.264169,0.030052,7.508276,2.098520,0.844386,7.658738,0.865345,0.487585,28.442898,0
20260121152638.JPG,20260121172226.JPG,10.805561,5.842616,43.244108,5.328452,-6.519720,43.955654,9.480533,7.817339,6.994739,0
20260121152631.JPG,20260121172000.JPG,-3.337001,2.144572,-14.342958,-2.640089,0.254068,-15.147555,2.009050,1.252607,1.613310,0
20260121172027.JPG,20260121172126.JPG,-16.452578,11.762557,-47.585274,-11.363902,4.882265,-47.157303,4.677755,4.946925,3.580747,0
20260121152644.JPG,20260121172007.JPG,7.862624,5.991520,34.111544,6.408628,1.725777,30.489468,5.176190,3.338168,4.196438,0
20260121152638.JPG,20260121172027.JPG,31.337981,22.102075,72.129017,37.724069,28.903611,74.692605,3.214823,5.586144,1.174905,0
20260121172007.JPG,20260121172035.JPG,2.001117,-1.056500,6.840894,1.588636,-0.129582,7.198944,1.118465,0.621159,5.131805,0
20260121172126.JPG,20260121172155.JPG,-0.629300,-1.684667,-4.236561,-0.889198,-0.001388,-5.035918,1.862572,1.086270,6.910877,0
20260121172126.JPG,20260121172151.JPG,-0.611469,-1.431574,-2.878468,-0.706536,-0.903074,-5.367396,2.544768,1.470047,13.796137,0
20260121172007.JPG,20260121172022.JPG,2.339321,-2.343949,10.468874,2.093871,-1.285450,10.645834,1.143321,0.635605,6.074770,0
20260121152708.JPG,20260121172022.JPG,6.878134,0.347029,39.115822,6.392184,1.382647,36.487698,2.971941,1.654860,3.744331,0
20260121152658.JPG,20260121172126.JPG,-5.258847,3.467666,-23.563047,-5.979028,5.959170,-19.971111,4.277261,2.557881,3.566053,0
