img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-13.412988,7.078512,-50.065145,6.525442,3.906457,5.851592,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.776036,0.247304,-7.787487,3.334979,1.918504,2.366450,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,3.453915,0.554601,21.086472,4.452050,2.430477,22.773124,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-6.362836,0.399119,-22.349739,4.987099,3.027558,11.440011,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-7.017232,1.480322,-33.319784,0.352305,0.242250,0.294566,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.922408,-0.165161,-4.911305,1.572995,0.921777,2.452543,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-7.872177,-8.261799,-5.780933,56.361093,34.755922,63.094919,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,6.905186,2.604306,32.557745,2.359108,1.642730,2.109710,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,3.807703,0.695129,17.801879,0.731935,0.390455,2.311086,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,3.254248,-1.426788,12.337068,0.518051,0.294115,0.551463,0
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,21.474549,14.137740,66.340040,1.091226,0.847058,0.603576,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-8.299980,2.530620,-37.132089,4.320029,2.608835,3.492195,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.257476,-0.438880,-23.383848,4.745973,3.192577,4.651787,0
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-3.657060,-4.484002,-26.002144,5.318639,3.527979,2.856985,0
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,4.036141,1.762338,-7.540997,35.840930,21.415883,26.039142,1
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,-6.811866,2.574600,-27.251446,4.393249,2.588840,2.151252,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-3.307553,1.460824,-19.979792,1.405798,0.787805,1.606576,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.103353,0.184651,17.641899,3.438168,1.931788,7.543622,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,11.384664,3.262922,51.612116,3.017614,2.583340,2.274653,0
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.542471,-0.115927,-4.767159,1.331664,0.788573,5.891206,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-2.056054,-1.145418,-10.565163,1.721589,1.085270,7.753154,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.423129,1.922948,-29.149254,1.746340,1.018881,1.382140,0
20260121172155.JPG,20260121172210.JPG,2.586306,0.460391,13.891059,2.551655,0.056644,13.890881,0.396857,0.233961,0.966757,0
20260121172057.JPG,20260121172118.JPG,-5.730474,2.882077,-21.528430,-5.181652,1.106859,-24.979547,3.819991,2.262949,4.800614,0
20260121152644.JPG,20260121172151.JPG,0.394544,3.188229,0.683909,0.238400,0.497902,3.101345,3.616270,2.090155,17.313109,1
20260121152638.JPG,20260121172057.JPG,12.891375,7.164342,50.296084,10.765070,3.177580,49.651475,2.801301,2.635081,2.496856,0
20260121172022.JPG,20260121172219.JPG,-4.071383,2.018837,-21.453486,-1.022903,-3.255377,-22.916487,5.205830,3.617132,6.547189,0
20260121152658.JPG,20260121152708.JPG,-3.342561,1.086888,-21.588871,-2.868082,1.059914,-18.012609,3.606489,2.082907,0.815100,0
20260121172057.JPG,20260121172201.JPG,-7.098818,4.507842,-26.071616,-6.319195,0.802445,-22.260009,5.147328,3.101941,7.302735,0
20260121152631.JPG,20260121152644.JPG,-4.174970,-2.706613,-29.297042,-5.021017,5.325497,-1.544775,28.818181,16.687509,15.908924,0
20260121172035.JPG,20260121172151.JPG,-10.215473,4.861906,-40.176881,-9.160523,2.702817,-41.138275,1.931468,1.494308,1.913761,0
20260121172027.JPG,20260121172057.JPG,-5.623080,2.614731,-22.689622,-4.412486,1.198142,-25.000034,2.724535,1.713696,7.460582,0
20260121172007.JPG,20260121172219.JPG,-1.354959,-1.302945,-11.050062,-2.003020,0.142098,-10.802102,1.488149,0.925494,2.421946,0
20260121172013.JPG,20260121172226.JPG,-8.670362,4.631258,-32.134874,19.778114,-29.883464,-49.204880,31.287161,27.640351,27.837961,0
20260121172118.JPG,20260121172146.JPG,-2.378762,-1.305195,-13.373273,-1.944908,0.250690,-9.879775,3.883920,2.222126,4.632686,0
20260121152708.JPG,20260121172027.JPG,10.058210,1.694126,46.559227,9.682527,2.017181,44.552772,2.108233,1.193226,2.797655,0
20260121152631.JPG,20260121172146.JPG,-7.297163,0.791076,-34.643400,-5.054355,-3.816919,-33.081898,4.144998,3.093116,2.344735,0
