img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-11.525271,4.650370,-50.189101,7.177282,4.862499,7.096653,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.652396,-0.351067,-6.465658,4.543383,2.620909,2.748228,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,4.879661,3.588773,27.947208,11.393758,6.601279,51.164722,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-2.009846,-6.754259,-19.718594,11.999924,7.943074,39.636023,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-6.244284,-0.209258,-34.207669,1.866584,1.359983,1.908605,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.902507,-1.439785,-4.069630,3.088110,1.796432,5.220907,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-21.818262,13.941936,-60.860400,1.800113,1.324963,1.575951,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,4.519214,-3.295341,33.975778,6.692345,5.033455,6.198173,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,-1.656259,5.701743,3.337387,16.804636,9.504937,87.302480,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,3.192374,-1.039735,12.474991,0.431032,0.248942,0.364470,0
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,21.340789,13.850124,66.386830,1.095429,0.752411,0.451994,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-7.444834,1.169035,-37.053411,4.740723,3.090646,4.663717,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.517925,-0.066653,-17.501481,9.035890,5.398609,74.933489,1
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,171.436406,159.473062,-4.037745,148.789469,137.916934,45.944762,0
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,-96.701002,155.304454,-3.488717,127.636897,100.433195,73.120462,1
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,-143.647994,-178.105146,-3.919319,146.418669,130.199727,58.376960,1
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-4.081937,-2.931498,-5.229887,14.113356,8.137568,9.980196,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.043895,0.603311,16.903107,3.475703,1.938132,7.712005,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,11.455025,3.635939,50.725212,2.516225,2.292291,1.959917,0
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.529833,-0.278682,-4.674219,1.171439,0.695159,4.995271,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-1.283248,-0.767079,-2.113532,8.192421,4.744762,35.665890,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.259034,1.604831,-28.922416,2.042070,1.212017,1.455608,0
20260121172155.JPG,20260121172210.JPG,2.586306,0.460391,13.891059,2.607964,0.149537,12.861418,1.077206,0.621090,0.809145,0
20260121172057.JPG,20260121172118.JPG,-5.730474,2.882077,-21.528430,-4.962648,0.597689,-24.853436,3.934503,2.370911,5.764576,0
20260121152644.JPG,20260121172151.JPG,0.394544,3.188229,0.683909,0.396830,1.462787,2.751309,2.692808,1.554703,18.080608,1
20260121152638.JPG,20260121172057.JPG,12.891375,7.164342,50.296084,0.540961,2.952517,1.481615,49.958145,29.172616,61.538837,1
20260121172022.JPG,20260121172219.JPG,-4.071383,2.018837,-21.453486,-21.552615,41.290985,-5.173071,42.093495,26.538946,75.454918,1
20260121152658.JPG,20260121152708.JPG,-3.342561,1.086888,-21.588871,-2.908294,0.584979,-18.149866,3.481227,2.022149,1.354754,0
20260121172057.JPG,20260121172201.JPG,-7.098818,4.507842,-26.071616,-0.217566,-10.130858,-19.975879,14.815649,9.980000,25.561785,0
20260121152631.JPG,20260121152644.JPG,-4.174970,-2.706613,-29.297042,172.951716,-35.196657,5.676824,170.800391,105.912916,42.143049,1
20260121172035.JPG,20260121172151.JPG,-10.215473,4.861906,-40.176881,-7.278230,-0.100297,-40.336690,3.799450,3.330485,3.129706,0
20260121172027.JPG,20260121172057.JPG,-5.623080,2.614731,-22.689622,-0.649472,-2.666474,-9.216841,14.812585,8.834473,67.401457,0
20260121172007.JPG,20260121172219.JPG,-1.354959,-1.302945,-11.050062,-1.348843,-3.342940,-8.457088,3.298514,1.904830,1.045635,0
