img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-3.235338,-2.015741,-14.397111,31.330049,19.240980,53.713861,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.877027,0.502294,-7.197953,3.960486,2.281961,2.877613,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,4.984744,-0.924445,17.143260,1.310718,0.797667,7.351086,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-1.885268,-6.882028,-19.767157,12.088990,8.022640,39.921610,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-7.028047,1.592366,-33.480370,0.210058,0.160316,0.464456,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.923931,-1.159750,-3.469265,3.253888,1.888705,5.366964,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-21.378768,13.414237,-60.823089,1.878110,1.608652,1.653845,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,4.530390,-3.296251,34.011887,6.692934,5.030998,6.210423,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,-1.687701,5.687142,3.340859,16.808445,9.506560,87.242566,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,1.639629,4.778409,12.012909,6.305237,3.463286,42.745264,1
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,0.001606,-0.186597,1.237821,65.806970,39.675062,58.567762,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-7.352187,1.000793,-37.162232,4.906021,3.211662,4.837019,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.859596,1.074825,-22.963399,3.880296,2.508957,2.986128,0
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-2.352962,16.358041,-7.882421,26.395888,14.931282,37.805233,1
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,-10.712690,6.156687,-46.788431,6.414756,3.809117,4.926658,0
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,2.024496,-9.534990,-31.993272,12.031531,9.676732,13.788229,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-2.955021,-1.700638,-15.414085,4.240947,2.531043,3.352462,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,1.165660,-1.456594,2.465234,13.466989,7.759534,32.779669,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,10.938677,2.397360,51.011204,3.439211,3.077041,2.676168,0
