img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-12.067683,5.219308,-50.960208,7.737825,4.959952,7.143893,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.575838,-0.512912,-7.017364,3.993995,2.304590,2.412321,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,3.229498,0.562478,18.689247,3.392830,1.748187,17.855454,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-6.341865,0.618252,-22.129847,4.909471,2.981476,10.894221,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-7.109516,1.661262,-33.591604,0.195211,0.123411,0.346115,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.980683,-0.460561,-5.124221,1.726820,1.009537,2.751222,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-18.071110,9.089223,-62.137207,4.258068,4.760357,3.764952,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,8.167813,5.384798,34.638190,0.788466,0.499209,1.079205,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,3.776576,0.900568,17.663576,0.945508,0.508229,2.864760,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,3.186828,-1.110705,12.443943,0.410501,0.237492,0.365162,0
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,22.571848,15.155328,67.340265,2.158221,1.873545,0.955540,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-8.271616,2.361601,-37.375893,4.598250,2.777099,3.802659,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.981121,1.319514,-23.256484,3.513899,2.280738,2.732328,0
