img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-12.029054,5.164669,-50.757334,7.563145,4.882824,7.103898,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.583553,-1.165834,-7.689605,3.351874,1.942152,2.000038,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,3.243682,0.551485,19.959849,3.860242,2.042454,19.906848,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-6.355064,0.516896,-22.507001,4.807349,2.927231,11.064367,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-7.024452,1.444634,-33.332635,0.378693,0.256447,0.356085,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.950938,0.017652,-4.950230,1.401011,0.820840,2.129001,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-1.961082,-3.177422,-6.761617,55.050917,34.244397,60.894159,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,7.666674,4.612433,31.819397,2.345269,1.357717,2.146025,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,3.809339,0.658631,17.879976,0.708900,0.378189,2.274418,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,2.438947,-0.171653,11.390649,1.407467,0.757144,1.768190,0
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,22.095724,14.919717,66.637367,1.497832,1.407572,0.865704,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-8.155216,2.184543,-37.560740,4.820578,2.927062,3.924871,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.501209,-0.078224,-17.496503,9.045486,5.406043,74.994620,1
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-1.494467,-7.248272,-21.867816,9.788867,6.417749,58.038647,1
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,-8.066545,3.224704,-39.771151,3.910270,3.545897,2.780075,0
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,-8.560645,6.427480,-34.620134,3.715593,2.357390,0.501854,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-4.801744,-0.757865,-11.394278,7.713483,4.415501,5.095413,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.153662,0.390095,17.483935,3.504316,1.974147,7.824681,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,13.237469,7.584205,50.599925,0.333927,0.227613,0.661062,0
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.546159,-0.105239,-4.745771,1.341169,0.794205,5.938290,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-2.338335,-0.856909,-10.558303,1.378022,0.863838,6.269150,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.383450,1.737153,-29.155836,1.788070,1.050946,1.483320,0
20260121172155.JPG,20260121172210.JPG,2.586306,0.460391,13.891059,2.513123,-0.045672,13.778498,0.506373,0.302284,1.196457,0
20260121172057.JPG,20260121172118.JPG,-5.730474,2.882077,-21.528430,-4.945897,0.768122,-24.301188,3.388187,2.063375,5.342720,0
20260121152644.JPG,20260121172151.JPG,0.394544,3.188229,0.683909,0.246337,0.191479,3.219611,3.924351,2.268058,17.086801,1
20260121152638.JPG,20260121172057.JPG,12.891375,7.164342,50.296084,13.210833,8.025244,50.426694,0.660821,0.535495,0.848555,0
20260121172022.JPG,20260121172219.JPG,-4.071383,2.018837,-21.453486,-2.444867,-2.718443,-19.261608,4.952376,3.156565,5.088231,0
20260121152658.JPG,20260121152708.JPG,-3.342561,1.086888,-21.588871,-2.850649,1.044817,-17.986814,3.633795,2.099092,0.820574,0
20260121172057.JPG,20260121172201.JPG,-7.098818,4.507842,-26.071616,-6.324050,0.883506,-22.087872,5.225776,3.141459,7.342479,0
20260121152631.JPG,20260121152644.JPG,-4.174970,-2.706613,-29.297042,-5.152414,1.045778,-24.956650,5.524660,3.360300,2.915535,0
20260121172035.JPG,20260121172151.JPG,-10.215473,4.861906,-40.176881,-9.162354,2.874112,-40.634969,1.598835,1.325422,1.601941,0
20260121172027.JPG,20260121172057.JPG,-5.623080,2.614731,-22.689622,-4.477355,1.187486,-25.042651,2.750019,1.721090,7.679727,0
20260121172007.JPG,20260121172219.JPG,-1.354959,-1.302945,-11.050062,-1.969762,-0.249914,-10.390584,1.296489,0.800368,2.134606,0
20260121172013.JPG,20260121172226.JPG,-8.670362,4.631258,-32.134874,-7.121488,2.340180,-35.274489,3.682973,2.415590,4.906792,0
20260121172118.JPG,20260121172146.JPG,-2.378762,-1.305195,-13.373273,-2.065444,-0.110811,-9.777985,3.821062,2.194752,3.503935,0
20260121152708.JPG,20260121172027.JPG,10.058210,1.694126,46.559227,9.526566,4.868163,45.217777,3.818289,2.013011,5.634202,0
20260121152631.JPG,20260121172146.JPG,-7.297163,0.791076,-34.643400,-7.434018,1.826658,-32.968013,1.933983,1.139895,1.024675,0
20260121172118.JPG,20260121172201.JPG,-0.752630,1.002311,-4.674287,-0.077660,-0.130734,-1.381107,3.535975,2.048122,10.948173,0
20260121172017.JPG,20260121172219.JPG,-4.351162,1.286611,-21.745218,-4.077586,-0.657906,-21.206511,1.938206,1.175613,2.272050,0
