img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-11.989192,5.250021,-50.340337,7.151864,4.667120,6.803241,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.690814,-0.579085,-7.579755,3.419415,1.973622,2.089028,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,3.149896,0.502694,18.367610,3.337381,1.707403,17.246424,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-6.052335,0.611185,-23.361559,4.314135,2.725077,11.227059,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-6.997035,1.418500,-33.471937,0.364233,0.260151,0.483675,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.911174,-0.140702,-4.898948,1.561410,0.915408,2.401618,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-20.438809,12.132076,-61.728022,2.984875,2.660800,2.505729,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,7.745390,4.752381,32.500822,1.670876,0.961741,1.433194,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,3.740290,0.756822,17.578567,0.837975,0.442747,2.255377,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,1.387744,4.063454,12.588962,5.769757,3.128362,43.464337,1
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,23.329991,17.780988,65.727015,2.490668,2.969771,2.026256,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-8.781217,3.262160,-37.268969,4.294874,2.510104,3.265906,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.972414,1.215732,-23.597254,3.361062,2.214886,2.869352,0
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-5.211554,-0.393626,-27.091686,1.683493,1.030210,0.842631,0
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,-8.466381,3.611840,-40.921643,3.509660,3.206592,2.773409,0
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,-2.265098,-3.598858,-31.037582,6.901762,5.448438,8.409569,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-3.413940,0.392931,-17.155199,1.711476,1.008475,0.719772,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.084401,0.246718,17.879902,3.636014,2.045025,7.941683,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,13.249164,7.758623,50.164494,0.580230,0.370071,0.718429,0
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.558574,-0.060567,-4.816266,1.392305,0.824371,6.125622,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-2.497050,-0.712139,-10.539702,1.196779,0.746667,5.492625,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.273947,1.744097,-28.845244,2.077452,1.224875,1.616074,0
20260121172155.JPG,20260121172210.JPG,2.586306,0.460391,13.891059,2.465993,-0.126997,13.682879,0.607582,0.366442,1.339231,0
20260121172057.JPG,20260121172118.JPG,-5.730474,2.882077,-21.528430,-5.034446,0.877889,-24.352953,3.375002,2.039539,5.159932,0
20260121152644.JPG,20260121172151.JPG,0.394544,3.188229,0.683909,0.189666,1.509724,2.629696,2.573962,1.488337,17.885765,1
20260121152638.JPG,20260121172057.JPG,12.891375,7.164342,50.296084,11.569587,4.774327,49.955938,1.651039,1.589025,1.438059,0
20260121172022.JPG,20260121172219.JPG,-4.071383,2.018837,-21.453486,10.548151,-18.760934,-6.773196,26.584702,16.941473,29.582651,0
20260121152658.JPG,20260121152708.JPG,-3.342561,1.086888,-21.588871,-2.908530,0.598227,-18.387518,3.245105,1.886428,1.349768,0
20260121172057.JPG,20260121172201.JPG,-7.098818,4.507842,-26.071616,-6.213631,0.811159,-22.496618,4.953057,3.012730,7.192501,0
20260121152631.JPG,20260121152644.JPG,-4.174970,-2.706613,-29.297042,-2.235175,-5.732176,-24.167055,5.826024,3.616333,2.599329,0
20260121172035.JPG,20260121172151.JPG,-10.215473,4.861906,-40.176881,-11.478079,6.706709,-41.137139,1.698285,1.404702,1.209761,0
20260121172027.JPG,20260121172057.JPG,-5.623080,2.614731,-22.689622,-4.483573,1.310339,-25.100987,2.758598,1.714117,7.225518,0
20260121172007.JPG,20260121172219.JPG,-1.354959,-1.302945,-11.050062,-1.976217,-0.375905,-10.298684,1.263546,0.776731,1.968699,0
20260121172013.JPG,20260121172226.JPG,-8.670362,4.631258,-32.134874,5.857307,-13.261262,-16.995143,23.219586,15.920708,29.264313,0
20260121172118.JPG,20260121172146.JPG,-2.378762,-1.305195,-13.373273,-2.053390,-0.138664,-9.691581,3.895228,2.237671,3.424068,0
20260121152708.JPG,20260121172027.JPG,10.058210,1.694126,46.559227,9.485621,3.242703,44.960477,2.559746,1.326894,3.739334,0
20260121152631.JPG,20260121172146.JPG,-7.297163,0.791076,-34.643400,-7.272120,1.545130,-32.822925,1.975924,1.137739,1.031552,0
20260121172118.JPG,20260121172201.JPG,-0.752630,1.002311,-4.674287,0.070355,0.330624,-1.062136,3.757711,2.173791,11.459718,0
20260121172017.JPG,20260121172219.JPG,-4.351162,1.286611,-21.745218,-2.872261,-2.678441,-20.749411,3.827409,2.510008,4.718917,0
20260121172022.JPG,20260121172226.JPG,-4.410777,2.694155,-22.305913,-5.168803,3.646099,-22.720941,1.049014,0.742304,0.417364,0
20260121172017.JPG,20260121172052.JPG,0.745437,-1.467544,-3.746434,-0.206856,-0.150212,-2.284625,2.155675,1.262155,6.472126,0
20260121172013.JPG,20260121172110.JPG,-6.795079,3.290017,-24.323172,-5.332535,0.957971,-19.634436,5.196489,3.139093,13.262332,0
20260121172110.JPG,20260121172226.JPG,-1.253710,0.207591,-7.897613,-1.321770,0.587842,-5.743757,2.186813,1.263371,5.938108,0
20260121172201.JPG,20260121172210.JPG,2.477734,-1.562775,10.138577,2.264189,0.261248,10.711342,1.960013,1.110664,36.867088,0
20260121152638.JPG,20260121152644.JPG,3.147524,-0.243530,21.201967,4.498202,2.166478,24.233803,3.782587,2.368157,4.573482,0
20260121172007.JPG,20260121172146.JPG,-9.063122,2.013966,-39.792440,-8.899305,2.466297,-39.183973,0.834214,0.447836,0.837897,0
20260121152708.JPG,20260121172102.JPG,4.238059,0.071860,23.960980,3.692485,0.408878,19.718816,4.306255,2.477040,2.565535,0
20260121152708.JPG,20260121172110.JPG,4.315584,0.615014,24.547630,3.589807,0.470129,20.146039,4.454379,2.576932,1.160209,0
20260121152638.JPG,20260121152658.JPG,11.728360,6.782324,48.158896,9.138200,1.396875,48.564879,3.876136,3.458170,3.306551,0
20260121152631.JPG,20260121172027.JPG,5.875189,-1.727360,23.189900,5.668274,-1.707053,24.444685,1.273226,0.734328,1.476144,0
20260121172022.JPG,20260121172027.JPG,2.264169,0.030052,7.508276,2.531988,1.098646,6.666291,1.360850,0.800533,47.547747,0
20260121152638.JPG,20260121172226.JPG,10.805561,5.842616,43.244108,5.913687,-4.866529,43.832606,8.170116,6.805942,6.013900,0
20260121152631.JPG,20260121172000.JPG,-3.337001,2.144572,-14.342958,-3.809219,4.098167,-10.052047,4.696766,2.735656,4.130377,0
20260121172027.JPG,20260121172126.JPG,-16.452578,11.762557,-47.585274,-11.609921,5.181250,-48.867447,4.566836,4.775245,3.635912,0
20260121152644.JPG,20260121172007.JPG,7.862624,5.991520,34.111544,6.577908,2.084279,30.570626,4.906911,3.133429,3.812503,0
20260121152638.JPG,20260121172027.JPG,31.337981,22.102075,72.129017,34.043209,25.898387,72.852437,1.632416,2.723575,1.186072,0
20260121172007.JPG,20260121172035.JPG,2.001117,-1.056500,6.840894,1.573974,-0.060081,7.308520,1.224257,0.681659,5.712840,0
20260121172126.JPG,20260121172155.JPG,-0.629300,-1.684667,-4.236561,-0.961404,-0.132389,-5.013760,1.743765,1.020441,6.580829,0
20260121172126.JPG,20260121172151.JPG,-0.611469,-1.431574,-2.878468,-0.564670,-1.342034,-5.220145,2.343982,1.353226,12.508996,0
20260121172007.JPG,20260121172022.JPG,2.339321,-2.343949,10.468874,1.653732,-1.058749,12.671452,2.706716,1.524590,12.767639,0
20260121152708.JPG,20260121172022.JPG,6.878134,0.347029,39.115822,6.159043,4.398611,37.391110,4.849066,2.575981,7.165289,0
20260121152658.JPG,20260121172126.JPG,-5.258847,3.467666,-23.563047,-4.116675,0.663794,-22.791757,2.690704,1.803805,3.198934,0
20260121172102.JPG,20260121172126.JPG,-6.646023,4.275183,-25.820014,-5.209876,1.464878,-23.497338,3.462005,2.262385,3.332091,0
20260121172022.JPG,20260121172057.JPG,-2.944193,1.622981,-15.268962,-3.064265,1.951364,-17.208133,1.964834,1.137635,3.598317,0
20260121152708.JPG,20260121172118.JPG,-0.901822,1.276127,2.084636,1.526155,0.312673,4.161735,3.375158,1.926799,19.345141,1
20260121172027.JPG,20260121172102.JPG,-5.378306,2.580215,-22.495916,-3.934585,0.735055,-27.313875,5.143347,3.093093,7.747481,0
20260121172007.JPG,20260121172013.JPG,5.705337,-1.593980,20.487812,5.926485,2.469852,18.871814,4.309135,2.528180,80.599769,0
20260121152708.JPG,20260121172057.JPG,4.006119,0.070808,23.764673,3.445805,0.374156,19.031116,4.789192,2.757567,7.683506,0
20260121172017.JPG,20260121172226.JPG,-4.695959,1.967845,-22.594546,-3.971776,-0.484737,-20.675729,2.985134,1.845847,2.107874,0
20260121172013.JPG,20260121172102.JPG,-6.477239,2.877180,-24.992963,-5.446766,1.705011,-27.345134,2.627301,1.629782,6.180405,0
