img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-9.513518,1.961345,-50.893029,8.682155,6.530053,9.094310,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.789865,-0.063122,-7.628525,3.416146,1.968164,2.146604,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,3.323914,0.338174,18.420720,3.078434,1.580303,15.902149,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-6.400616,0.640799,-22.514551,4.706144,2.858465,10.623984,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-6.978023,1.384001,-33.408663,0.399628,0.285976,0.461234,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-1.015839,-0.052846,-4.910250,1.474177,0.860359,2.332606,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-20.135637,11.872934,-61.535157,2.886439,2.795563,2.363489,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,7.772937,4.818251,38.886950,4.753078,2.742079,1.781963,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,3.398620,1.334403,18.009416,1.603322,0.835023,5.572893,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,3.208468,-1.257670,12.401286,0.433190,0.249763,0.435307,0
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,24.407495,19.201255,66.272816,3.183892,4.019752,2.428387,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-8.654423,3.136511,-36.855219,3.912119,2.308100,3.133994,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.643025,0.746236,-22.892624,4.154372,2.713935,3.300141,0
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-6.124888,2.060358,-27.670719,1.259511,0.871953,0.780852,0
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,-2.839222,1.819210,-13.879677,27.855373,16.629021,62.933875,1
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,-2.688193,-2.984484,-31.643347,6.346093,5.019199,7.847814,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-3.515635,0.190509,-16.840949,2.072948,1.211454,1.428896,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.105705,0.434294,17.695055,3.671590,2.065539,8.100385,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,13.955547,7.672988,54.293523,3.838164,2.259097,0.564195,0
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.551934,-0.044334,-4.792590,1.403626,0.830638,6.206970,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-2.792745,-0.389224,-10.665179,0.935696,0.568012,4.485982,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.332136,1.686001,-29.084665,1.867620,1.102939,1.330829,0
