img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-11.572573,4.727940,-49.848090,6.851401,4.678411,6.916763,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-2.274572,1.140812,-8.688289,2.884735,1.678878,2.881943,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,4.529326,2.690943,27.345179,10.506145,6.051280,47.421895,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-2.393601,-6.486144,-18.877567,12.177425,7.926544,40.801021,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-6.951930,1.536080,-33.269334,0.336547,0.244436,0.224046,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.956010,-0.661251,-4.176032,2.407177,1.400009,3.909765,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-1.404005,-3.039437,-6.946893,54.949262,34.239607,61.215799,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,3.875900,-4.680784,34.131882,7.838870,5.914224,7.297666,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,3.822823,0.590114,18.303574,0.846490,0.467309,3.438069,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,1.926963,5.788947,12.093587,7.177937,3.995562,43.514315,1
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,20.512082,12.186176,66.853933,1.738181,1.111517,0.877676,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-7.427097,1.065362,-37.384036,5.064000,3.272331,4.913908,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.749328,0.773134,-23.201060,3.927626,2.579208,3.317882,0
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-7.924726,20.813399,-7.617453,28.271093,16.669324,46.036254,1
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,-4.553674,1.884875,-13.665630,27.764251,16.465130,62.675435,1
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,-0.494275,-6.127488,-31.078681,9.099610,7.227768,10.640373,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-3.965834,1.014559,-17.499026,1.275234,0.735321,0.922778,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.210741,0.699957,17.882176,3.961643,2.246491,8.732150,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,11.532125,3.607165,51.082006,2.628091,2.310026,2.047191,0
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.551932,-0.105330,-4.760266,1.343484,0.795796,5.908552,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-2.339745,-0.834039,-10.727375,1.433201,0.892370,6.249755,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.174852,1.591911,-28.635347,2.316234,1.374962,1.698698,0
20260121172155.JPG,20260121172210.JPG,2.586306,0.460391,13.891059,2.635211,0.160598,13.121307,0.831645,0.477768,0.783370,0
20260121172057.JPG,20260121172118.JPG,-5.730474,2.882077,-21.528430,-5.094430,0.840563,-24.749915,3.732077,2.232360,5.324121,0
20260121152644.JPG,20260121172151.JPG,0.394544,3.188229,0.683909,0.193960,1.044037,2.785450,3.004613,1.737265,17.369572,1
20260121152638.JPG,20260121172057.JPG,12.891375,7.164342,50.296084,11.570817,4.718146,50.226841,1.662637,1.605464,1.514648,0
20260121172022.JPG,20260121172219.JPG,-4.071383,2.018837,-21.453486,-1.927692,-3.256435,-19.536746,5.307795,3.468804,5.609801,0
20260121152658.JPG,20260121152708.JPG,-3.342561,1.086888,-21.588871,-2.881834,0.556137,-18.125948,3.509915,2.040082,1.435786,0
20260121172057.JPG,20260121172201.JPG,-7.098818,4.507842,-26.071616,-4.394763,-3.597828,-20.083652,9.570894,6.024105,16.290602,0
20260121152631.JPG,20260121152644.JPG,-4.174970,-2.706613,-29.297042,-2.569428,-5.241155,-24.966901,4.902523,3.041479,2.194916,0
20260121172035.JPG,20260121172151.JPG,-10.215473,4.861906,-40.176881,-7.329739,-0.077178,-40.839800,3.826468,3.324729,3.298857,0
20260121172027.JPG,20260121172057.JPG,-5.623080,2.614731,-22.689622,-4.152077,0.894864,-25.245135,3.097722,1.970823,8.731901,0
20260121172007.JPG,20260121172219.JPG,-1.354959,-1.302945,-11.050062,-2.142018,-0.276257,-10.394830,1.342445,0.837233,1.868306,0
20260121172013.JPG,20260121172226.JPG,-8.670362,4.631258,-32.134874,-3.307640,-2.947216,-31.842994,6.571682,5.362750,8.298910,0
20260121172118.JPG,20260121172146.JPG,-2.378762,-1.305195,-13.373273,-1.985732,-0.013118,-9.651104,3.985043,2.286079,3.829922,0
20260121152708.JPG,20260121172027.JPG,10.058210,1.694126,46.559227,9.557218,5.801679,45.406091,4.627294,2.480101,6.826899,0
20260121152631.JPG,20260121172146.JPG,-7.297163,0.791076,-34.643400,-6.145353,-0.967249,-32.310889,2.761134,1.812823,0.977219,0
20260121172118.JPG,20260121172201.JPG,-0.752630,1.002311,-4.674287,0.020506,-0.040409,-1.458648,3.455231,2.002111,10.654191,0
20260121172017.JPG,20260121172219.JPG,-4.351162,1.286611,-21.745218,-2.442413,-3.315000,-20.654095,4.433251,2.944413,5.482460,0
20260121172022.JPG,20260121172226.JPG,-4.410777,2.694155,-22.305913,-3.877184,1.639049,-23.192626,1.322411,0.853274,1.610186,0
20260121172017.JPG,20260121172052.JPG,0.745437,-1.467544,-3.746434,-0.163515,-0.198322,-2.271807,2.119044,1.239844,6.429472,0
20260121172013.JPG,20260121172110.JPG,-6.795079,3.290017,-24.323172,-5.998593,1.942308,-31.061444,6.844991,3.993955,9.492324,0
20260121172110.JPG,20260121172226.JPG,-1.253710,0.207591,-7.897613,-1.229269,-0.065518,-5.478782,2.434001,1.405457,5.051811,0
20260121172201.JPG,20260121172210.JPG,2.477734,-1.562775,10.138577,2.268965,0.264743,10.862097,2.011442,1.141182,37.363329,0
20260121152638.JPG,20260121152644.JPG,3.147524,-0.243530,21.201967,4.311388,1.020065,25.547031,4.545566,2.697582,2.859136,0
20260121172007.JPG,20260121172146.JPG,-9.063122,2.013966,-39.792440,-8.893409,2.446427,-39.129802,0.864988,0.467231,0.860603,0
20260121152708.JPG,20260121172102.JPG,4.238059,0.071860,23.960980,3.702646,0.521285,19.580729,4.455732,2.560941,2.630072,0
20260121152708.JPG,20260121172110.JPG,4.315584,0.615014,24.547630,3.660326,0.786329,20.041878,4.565684,2.630622,1.394181,0
20260121152638.JPG,20260121152658.JPG,11.728360,6.782324,48.158896,8.868894,0.607786,49.375791,4.606603,3.990919,3.927520,0
20260121152631.JPG,20260121172027.JPG,5.875189,-1.727360,23.189900,-0.978980,2.053466,1.379066,23.394933,13.378923,30.096740,1
20260121172022.JPG,20260121172027.JPG,2.264169,0.030052,7.508276,2.161774,1.105727,7.533001,1.094077,0.624012,35.615457,0
20260121152638.JPG,20260121172226.JPG,10.805561,5.842616,43.244108,4.799935,-7.151462,45.368133,10.014941,8.355140,7.285074,0
20260121152631.JPG,20260121172000.JPG,-3.337001,2.144572,-14.342958,-3.868653,4.134542,-11.262380,3.641786,2.139516,3.193029,0
20260121172027.JPG,20260121172126.JPG,-16.452578,11.762557,-47.585274,-11.769247,5.421584,-48.559698,4.346333,4.585885,3.455533,0
20260121152644.JPG,20260121172007.JPG,7.862624,5.991520,34.111544,6.608805,2.141167,30.725161,4.762640,3.047669,3.692962,0
20260121152638.JPG,20260121172027.JPG,31.337981,22.102075,72.129017,33.915115,25.201466,73.076887,1.378873,2.390698,0.787976,0
20260121172007.JPG,20260121172035.JPG,2.001117,-1.056500,6.840894,1.832569,-0.403072,6.991968,0.710439,0.399249,3.526774,0
20260121172126.JPG,20260121172155.JPG,-0.629300,-1.684667,-4.236561,-0.957007,0.008470,-4.876299,1.815262,1.061975,6.910084,0
20260121172126.JPG,20260121172151.JPG,-0.611469,-1.431574,-2.878468,-0.580483,-1.260957,-5.241441,2.369485,1.367932,12.636183,0
20260121172007.JPG,20260121172022.JPG,2.339321,-2.343949,10.468874,2.148392,-1.306298,10.684268,1.110088,0.621710,6.012739,0
20260121152708.JPG,20260121172022.JPG,6.878134,0.347029,39.115822,-1.307726,2.291642,2.517876,37.673311,21.681017,72.826306,0
