img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-11.715148,4.932559,-49.845849,6.788298,4.584639,6.772425,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.899532,0.509329,-7.635423,3.545641,2.042424,2.628586,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,3.502615,0.436553,20.413493,3.894311,2.103501,19.577611,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-4.075383,-3.906619,-21.293979,8.911391,5.784182,28.003085,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-6.954353,1.550465,-33.228346,0.356404,0.251066,0.224999,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.903794,-0.202421,-4.809333,1.662744,0.973902,2.579747,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-20.160197,11.963255,-60.615487,2.179136,2.532833,1.905520,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,5.542990,-0.611850,32.790326,4.650581,3.466397,4.022659,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,3.418168,1.294936,18.242828,1.614741,0.847615,5.759945,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,2.892192,7.944786,12.432334,9.036838,5.179526,45.620315,1
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,0.043716,-0.170396,1.224838,65.812910,39.672850,58.650789,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-7.432481,1.063415,-37.300518,4.994648,3.235413,4.895963,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.576734,-0.056266,-17.493533,9.037259,5.393274,75.016595,1
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-8.497370,21.004177,-8.357353,27.782787,16.474532,47.401395,1
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,-8.351685,3.426137,-40.898297,3.648024,3.331525,2.890913,0
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,2.736355,-10.447763,-14.078481,22.357880,14.350268,26.603255,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-3.171792,-1.389802,-13.945574,5.340654,3.123839,3.361235,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.147556,0.454772,17.760409,3.711302,2.094206,8.162463,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,0.134157,2.482321,1.094127,50.641534,29.619906,44.797244,1
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.545213,-0.071474,-4.751203,1.373169,0.812695,6.048757,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-1.236933,-0.682790,-1.466835,8.822954,5.106302,37.911038,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.111450,1.608563,-28.450613,2.489994,1.477458,1.825709,0
20260121172155.JPG,20260121172210.JPG,2.586306,0.460391,13.891059,2.644891,0.195475,13.050303,0.887532,0.510060,0.718060,0
