img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-12.118977,5.484220,-49.711189,6.513367,4.281781,6.281777,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-2.134121,1.031725,-8.127006,3.298267,1.908169,2.951803,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,4.689910,3.129242,28.368894,11.588398,6.692520,50.839696,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-6.285970,0.573629,-21.782373,5.130755,3.114165,11.401550,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-6.888550,1.428959,-33.096269,0.522032,0.360617,0.148556,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.887464,-0.220845,-4.843664,1.659898,0.973223,2.509739,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-19.330918,10.933427,-61.134556,2.900739,3.352378,2.427698,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,3.600806,-5.316601,34.252222,8.367153,6.314489,7.831080,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,3.756438,0.804666,17.966856,0.894933,0.477894,3.299326,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,3.148751,-1.053313,12.374086,0.334873,0.194151,0.204721,0
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,21.662266,14.164549,66.641167,1.372359,1.028870,0.616718,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-8.224638,2.327933,-37.252585,4.491660,2.726781,3.774908,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.915915,1.341478,-23.024538,3.668620,2.368393,2.659607,0
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-6.231468,2.306386,-26.873158,1.951001,1.261633,1.046214,0
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,-8.312892,3.445989,-40.478693,3.633342,3.329843,2.765619,0
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,-1.548493,-4.546999,-31.885727,7.707556,6.138383,9.168141,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-3.761633,0.598880,-17.244954,1.571320,0.905050,0.973980,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.103617,0.279532,17.667973,3.530104,1.984417,7.759685,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,12.759289,6.910753,49.865832,0.674954,0.462695,0.483717,0
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.548890,-0.095209,-4.747831,1.351431,0.800260,5.983083,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-2.295406,-0.845621,-10.346573,1.328410,0.839510,5.811050,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.259111,1.625552,-28.848718,2.105504,1.246797,1.590951,0
20260121172155.JPG,20260121172210.JPG,2.586306,0.460391,13.891059,2.647400,0.213446,13.142258,0.795279,0.456588,0.685053,0
20260121172057.JPG,20260121172118.JPG,-5.730474,2.882077,-21.528430,-4.969324,0.553988,-24.686338,3.818257,2.307360,5.901395,0
20260121152644.JPG,20260121172151.JPG,0.394544,3.188229,0.683909,0.260955,1.709292,2.608438,2.428446,1.403437,18.209993,1
20260121152638.JPG,20260121172057.JPG,12.891375,7.164342,50.296084,11.578202,4.598121,50.486353,1.775825,1.667944,1.665483,0
20260121172022.JPG,20260121172219.JPG,-4.071383,2.018837,-21.453486,-2.403662,-2.333010,-20.089304,4.293113,2.803620,4.713217,0
20260121152658.JPG,20260121152708.JPG,-3.342561,1.086888,-21.588871,-2.850665,0.786302,-17.953611,3.667052,2.125044,1.057020,0
20260121172057.JPG,20260121172201.JPG,-7.098818,4.507842,-26.071616,-5.642343,-0.482820,-23.127994,5.443672,3.449296,9.088668,0
20260121152631.JPG,20260121152644.JPG,-4.174970,-2.706613,-29.297042,0.600364,-0.140334,-1.529504,28.397588,16.334276,21.832124,1
20260121172035.JPG,20260121172151.JPG,-10.215473,4.861906,-40.176881,-8.900766,2.718130,-40.043028,1.646339,1.453977,1.285255,0
20260121172027.JPG,20260121172057.JPG,-5.623080,2.614731,-22.689622,-5.016575,1.880412,-25.103127,2.524102,1.498007,6.347538,0
20260121172007.JPG,20260121172219.JPG,-1.354959,-1.302945,-11.050062,-2.383098,0.820768,-10.853714,2.185407,1.366965,2.906394,0
20260121172013.JPG,20260121172226.JPG,-8.670362,4.631258,-32.134874,-6.634480,1.741128,-34.934073,3.718653,2.603407,5.119014,0
20260121172118.JPG,20260121172146.JPG,-2.378762,-1.305195,-13.373273,-1.945553,0.029445,-9.487307,4.159099,2.385349,4.032523,0
20260121152708.JPG,20260121172027.JPG,10.058210,1.694126,46.559227,9.545464,4.891634,45.219395,3.825700,2.023373,5.612256,0
20260121152631.JPG,20260121172146.JPG,-7.297163,0.791076,-34.643400,-4.980592,-3.808203,-31.067549,5.266251,3.619695,2.377731,0
20260121172118.JPG,20260121172201.JPG,-0.752630,1.002311,-4.674287,0.103023,0.304705,-1.268462,3.571579,2.067078,10.888126,0
20260121172017.JPG,20260121172219.JPG,-4.351162,1.286611,-21.745218,-3.266654,-1.788663,-21.554020,2.865117,1.885915,4.293663,0
20260121172022.JPG,20260121172226.JPG,-4.410777,2.694155,-22.305913,-6.216635,5.755835,-23.646269,3.180220,2.193290,1.548563,0
20260121172017.JPG,20260121172052.JPG,0.745437,-1.467544,-3.746434,-0.194389,-0.153481,-2.275115,2.155202,1.261588,6.532774,0
20260121172013.JPG,20260121172110.JPG,-6.795079,3.290017,-24.323172,-5.588222,1.449224,-31.032110,6.912615,4.076554,10.344361,0
20260121172110.JPG,20260121172226.JPG,-1.253710,0.207591,-7.897613,-1.150497,-0.029929,-5.413510,2.496426,1.441970,5.569227,0
20260121172201.JPG,20260121172210.JPG,2.477734,-1.562775,10.138577,2.244931,0.168944,10.514174,1.827195,1.031847,34.574650,0
20260121152638.JPG,20260121152644.JPG,3.147524,-0.243530,21.201967,4.233691,0.987947,25.243327,4.239419,2.518524,2.789230,0
20260121172007.JPG,20260121172146.JPG,-9.063122,2.013966,-39.792440,-8.887243,2.542374,-39.038240,0.998488,0.541284,0.976687,0
20260121152708.JPG,20260121172102.JPG,4.238059,0.071860,23.960980,3.682121,0.469822,19.635859,4.397527,2.528116,2.574257,0
20260121152708.JPG,20260121172110.JPG,4.315584,0.615014,24.547630,3.565363,0.503387,20.136516,4.468696,2.584132,1.228258,0
20260121152638.JPG,20260121152658.JPG,11.728360,6.782324,48.158896,8.940162,0.861469,49.144214,4.360156,3.821057,3.725508,0
20260121152631.JPG,20260121172027.JPG,5.875189,-1.727360,23.189900,5.565811,-1.405023,24.344343,1.269933,0.714692,1.371452,0
20260121172022.JPG,20260121172027.JPG,2.264169,0.030052,7.508276,2.165979,0.901433,7.569199,0.891688,0.507496,30.105129,0
20260121152638.JPG,20260121172226.JPG,10.805561,5.842616,43.244108,4.442544,-8.019012,44.568744,10.580123,8.839068,7.741849,0
20260121152631.JPG,20260121172000.JPG,-3.337001,2.144572,-14.342958,-3.593653,3.554816,-11.187770,3.442292,2.000822,3.084138,0
20260121172027.JPG,20260121172126.JPG,-16.452578,11.762557,-47.585274,-1.930266,1.507743,-6.771650,42.766219,25.702209,56.250655,1
20260121152644.JPG,20260121172007.JPG,7.862624,5.991520,34.111544,6.666817,2.228060,30.884578,4.600645,2.944311,3.622764,0
20260121152638.JPG,20260121172027.JPG,31.337981,22.102075,72.129017,33.625694,24.792469,72.875748,1.135336,2.084024,0.562341,0
20260121172007.JPG,20260121172035.JPG,2.001117,-1.056500,6.840894,1.665565,-0.128472,7.880834,1.461188,0.827709,6.835728,0
