img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-11.740366,4.945083,-49.679794,6.637709,4.502026,6.681157,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.811473,0.035904,-7.642514,3.419497,1.969784,2.169889,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,4.420541,2.699777,27.455545,10.629464,6.111871,47.754654,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-4.905429,-2.552683,-21.597824,7.670974,4.891318,22.703401,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-6.951597,1.502182,-33.271594,0.356331,0.258436,0.252088,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.981314,-0.861448,-3.917347,2.727280,1.583476,4.474110,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-21.966355,14.031535,-60.981780,1.906842,1.318803,1.739855,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,4.166258,-4.086048,34.788198,7.352238,5.544876,6.899447,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,3.836625,0.532837,18.333571,0.823623,0.457366,3.321884,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,1.838847,5.128510,12.704010,6.603070,3.651968,44.248149,1
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,19.583257,10.036304,67.444720,3.029970,2.362614,1.894742,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-7.992383,2.019295,-37.113841,4.460289,2.766684,3.963139,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.915263,1.161144,-23.297990,3.593106,2.346377,2.901150,0
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-7.438431,-8.859494,-20.532805,13.197004,7.276690,62.071852,1
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,-9.360707,5.122786,-39.902042,2.466974,2.223433,1.682849,0
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,3.170679,-10.765658,-14.330982,22.390191,14.463312,26.529031,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-4.196598,1.481814,-17.770412,1.116396,0.677789,0.938498,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.119662,0.326890,17.975799,3.746280,2.113133,8.129045,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,11.300241,3.241797,50.877909,2.819929,2.542076,2.199590,0
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.520446,-0.080667,-4.676629,1.355963,0.801604,6.074221,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-2.469962,-0.707235,-10.651714,1.255218,0.780027,5.528639,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.256337,1.488081,-28.911654,2.091203,1.244664,1.604547,0
