img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-11.860904,5.106073,-49.898668,6.787167,4.527266,6.664973,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.663152,-0.410205,-7.021638,3.985924,2.299262,2.445899,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,3.250248,0.409573,18.053970,3.158278,1.616556,16.431422,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-5.802683,-0.511551,-22.507339,5.608425,3.516084,15.077549,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-6.994371,1.323747,-33.403874,0.460734,0.316121,0.516973,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.951052,-0.409535,-4.484180,2.017858,1.176005,3.173539,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-21.684486,13.637542,-61.641247,2.594973,1.790963,2.232202,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,3.802273,-4.726358,34.466211,7.863772,5.958394,7.369535,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,3.849599,0.582974,18.290319,0.821593,0.455780,3.284239,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,1.524573,4.529477,12.344048,6.128000,3.347811,43.253553,1
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,21.669851,14.371811,66.556319,1.326827,1.060591,0.643007,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-8.243482,2.355797,-37.487024,4.702781,2.839077,3.789613,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.742392,0.800119,-23.258449,3.873376,2.550914,3.276926,0
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-6.211574,2.333746,-27.712274,1.450764,1.012844,0.857308,0
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,-9.235938,4.842676,-39.922344,2.663975,2.392987,1.899067,0
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,3.309620,-10.866916,-14.330738,22.467515,14.532384,26.495317,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-3.248947,-0.210394,-16.447026,2.593686,1.536569,1.620366,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.228733,0.721317,18.013721,4.049057,2.299861,8.951276,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,10.784915,1.955875,51.509814,3.861309,3.382673,2.956016,0
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.555516,-0.049815,-4.825456,1.402704,0.830269,6.182234,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-2.262284,-0.898958,-10.663250,1.484236,0.928965,6.527090,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.222972,1.750018,-28.680068,2.235515,1.318211,1.725169,0
20260121172155.JPG,20260121172210.JPG,2.586306,0.460391,13.891059,2.469616,-0.135761,13.650193,0.627624,0.377285,1.370085,0
20260121172057.JPG,20260121172118.JPG,-5.730474,2.882077,-21.528430,-4.868775,0.026059,-25.249859,4.559701,2.753688,7.085210,0
20260121152644.JPG,20260121172151.JPG,0.394544,3.188229,0.683909,0.195663,2.485818,2.239139,1.715959,0.991913,18.808672,1
20260121152638.JPG,20260121172057.JPG,12.891375,7.164342,50.296084,11.407636,4.349641,50.257168,1.923817,1.837166,1.775626,0
20260121172022.JPG,20260121172219.JPG,-4.071383,2.018837,-21.453486,-2.309657,-2.596727,-19.808777,4.623707,3.006226,4.968983,0
20260121152658.JPG,20260121152708.JPG,-3.342561,1.086888,-21.588871,-2.838454,0.947228,-18.036550,3.583963,2.073050,0.861930,0
20260121172057.JPG,20260121172201.JPG,-7.098818,4.507842,-26.071616,-6.292518,0.881288,-22.242211,5.105614,3.080387,7.252311,0
20260121152631.JPG,20260121152644.JPG,-4.174970,-2.706613,-29.297042,-3.241307,-3.355875,-24.505183,4.868851,2.843424,1.678402,0
20260121172035.JPG,20260121172151.JPG,-10.215473,4.861906,-40.176881,-8.148546,1.135918,-41.288357,3.055854,2.542345,2.848987,0
20260121172027.JPG,20260121172057.JPG,-5.623080,2.614731,-22.689622,-4.267071,0.990082,-25.252030,3.041893,1.918695,8.309482,0
20260121172007.JPG,20260121172219.JPG,-1.354959,-1.302945,-11.050062,-2.055777,-0.277195,-10.218784,1.403199,0.863005,2.117252,0
20260121172013.JPG,20260121172226.JPG,-8.670362,4.631258,-32.134874,-8.465012,3.941762,-34.806065,2.737983,1.597167,3.255357,0
20260121172118.JPG,20260121172146.JPG,-2.378762,-1.305195,-13.373273,-1.920628,0.267939,-9.803030,3.964843,2.267985,4.686334,0
20260121152708.JPG,20260121172027.JPG,10.058210,1.694126,46.559227,1.797697,2.145581,9.078275,38.397211,22.160488,74.755635,0
20260121152631.JPG,20260121172146.JPG,-7.297163,0.791076,-34.643400,-6.477574,-0.156163,-32.301704,2.489150,1.533246,0.751540,0
20260121172118.JPG,20260121172201.JPG,-0.752630,1.002311,-4.674287,0.037150,0.071589,-1.311534,3.566637,2.065438,10.994700,0
20260121172017.JPG,20260121172219.JPG,-4.351162,1.286611,-21.745218,-4.443987,0.393087,-21.920842,0.948439,0.528471,1.936453,0
20260121172022.JPG,20260121172226.JPG,-4.410777,2.694155,-22.305913,-2.966285,-0.495911,-21.347132,3.123307,2.096214,3.185162,0
20260121172017.JPG,20260121172052.JPG,0.745437,-1.467544,-3.746434,-0.166996,-0.207882,-2.242680,2.135485,1.249074,6.496241,0
20260121172013.JPG,20260121172110.JPG,-6.795079,3.290017,-24.323172,-5.471302,1.191798,-21.328237,3.601073,2.245332,8.391827,0
20260121172110.JPG,20260121172226.JPG,-1.253710,0.207591,-7.897613,-1.252575,0.367405,-5.643985,2.259296,1.304400,5.792923,0
20260121172201.JPG,20260121172210.JPG,2.477734,-1.562775,10.138577,2.266073,0.300427,10.582331,1.963432,1.112541,37.156666,0
20260121152638.JPG,20260121152644.JPG,3.147524,-0.243530,21.201967,4.330005,0.854468,25.950964,4.910844,2.895792,2.757810,0
20260121172007.JPG,20260121172146.JPG,-9.063122,2.013966,-39.792440,-8.903871,2.653962,-38.891336,1.173097,0.644707,1.188323,0
20260121152708.JPG,20260121172102.JPG,4.238059,0.071860,23.960980,3.684346,0.418431,19.751474,4.276608,2.459448,2.480191,0
20260121152708.JPG,20260121172110.JPG,4.315584,0.615014,24.547630,3.530303,0.353322,20.072808,4.533515,2.627367,1.219607,0
20260121152638.JPG,20260121152658.JPG,11.728360,6.782324,48.158896,8.986370,0.986621,49.019385,4.243600,3.734931,3.634609,0
20260121152631.JPG,20260121172027.JPG,5.875189,-1.727360,23.189900,5.763152,-1.920250,24.510330,1.332597,0.773153,1.506292,0
20260121172022.JPG,20260121172027.JPG,2.264169,0.030052,7.508276,2.081194,0.953062,7.700128,0.983326,0.554447,32.189649,0
20260121152638.JPG,20260121172226.JPG,10.805561,5.842616,43.244108,4.844787,-7.064864,45.315175,9.944211,8.295043,7.256021,0
20260121152631.JPG,20260121172000.JPG,-3.337001,2.144572,-14.342958,-2.533036,-1.052270,-18.910609,5.500225,3.252158,4.182938,0
20260121172027.JPG,20260121172126.JPG,-16.452578,11.762557,-47.585274,-11.551109,5.145960,-48.470837,4.511213,4.781491,3.579265,0
20260121152644.JPG,20260121172007.JPG,7.862624,5.991520,34.111544,6.680259,2.247326,30.727904,4.702518,2.992546,3.649594,0
20260121152638.JPG,20260121172027.JPG,31.337981,22.102075,72.129017,2.129475,0.036932,8.346587,66.224051,42.458630,57.331210,0
20260121172007.JPG,20260121172035.JPG,2.001117,-1.056500,6.840894,1.610611,-0.017182,7.429366,1.296066,0.725483,6.212165,0
20260121172126.JPG,20260121172155.JPG,-0.629300,-1.684667,-4.236561,-0.957812,0.020284,-5.050385,1.893764,1.107112,7.106807,0
20260121172126.JPG,20260121172151.JPG,-0.611469,-1.431574,-2.878468,-0.538958,-1.737325,-5.280152,2.421500,1.398431,12.222667,0
20260121172007.JPG,20260121172022.JPG,2.339321,-2.343949,10.468874,1.716682,-1.080266,12.102226,2.227158,1.245313,10.550632,0
20260121152708.JPG,20260121172022.JPG,6.878134,0.347029,39.115822,6.427307,-0.314333,35.266243,3.885760,2.270088,4.427803,0
20260121152658.JPG,20260121172126.JPG,-5.258847,3.467666,-23.563047,-3.753817,0.159144,-22.225362,3.335463,2.236130,3.666450,0
20260121172102.JPG,20260121172126.JPG,-6.646023,4.275183,-25.820014,-5.047115,1.095421,-23.012116,4.042898,2.617358,3.953693,0
20260121172022.JPG,20260121172057.JPG,-2.944193,1.622981,-15.268962,-2.554883,1.302868,-16.553784,1.355159,0.796827,2.969888,0
20260121152708.JPG,20260121172118.JPG,-0.901822,1.276127,2.084636,1.555767,0.312570,4.169788,3.401987,1.942168,19.367029,1
20260121172027.JPG,20260121172102.JPG,-5.378306,2.580215,-22.495916,-4.215997,1.128541,-24.048303,2.129464,1.398598,4.093599,0
20260121172007.JPG,20260121172013.JPG,5.705337,-1.593980,20.487812,5.880430,2.485462,18.811906,4.358849,2.548278,79.204882,0
20260121152708.JPG,20260121172057.JPG,4.006119,0.070808,23.764673,3.685093,-0.036025,20.059415,3.717225,2.148131,6.247592,0
20260121172017.JPG,20260121172226.JPG,-4.695959,1.967845,-22.594546,-4.627472,1.005090,-21.979715,1.122311,0.660708,1.226851,0
20260121172013.JPG,20260121172102.JPG,-6.477239,2.877180,-24.992963,-5.977673,2.339238,-29.726428,4.764163,2.765540,6.629928,0
20260121172013.JPG,20260121172219.JPG,-8.157759,3.823459,-31.330304,3.499338,-16.269751,-9.961604,28.681576,18.223121,44.644136,0
20260121172219.JPG,20260121172226.JPG,-0.092121,0.562656,-0.895983,0.092625,0.634536,-0.064169,0.855239,0.493697,4.204045,0
20260121172013.JPG,20260121172118.JPG,-16.298727,10.322522,-46.071247,-13.947348,6.808358,-52.383321,6.721608,4.386366,8.345242,0
20260121152658.JPG,20260121172000.JPG,-3.151739,3.495210,-12.566523,-2.407229,-1.176526,-15.344530,5.330502,3.167372,13.444214,0
20260121152708.JPG,20260121172219.JPG,2.862418,-0.329122,17.580056,2.677195,-3.091582,12.789496,5.508389,3.194524,4.608801,0
20260121152658.JPG,20260121172226.JPG,-0.263783,0.327987,-4.947469,-0.377499,0.258349,-3.809897,1.145889,0.661275,1.649246,0
20260121172146.JPG,20260121172210.JPG,4.518483,1.471250,18.773057,4.200502,1.009378,18.749505,0.469595,0.324033,1.258326,0
20260121171953.JPG,20260121172052.JPG,3.263250,-1.220886,13.224064,2.742879,0.106691,16.545208,3.663009,2.086724,16.701343,0
