frame_idx,kpts_prev,kpts_curr,matches,E_inliers,pose_inliers,median_parallax,pos_x,pos_y,pos_z,accepted,fail_reason
1,2444,2441,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
2,2441,2448,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
3,2448,2445,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
4,2445,2462,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
5,2462,2451,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
6,2451,2447,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
7,2447,2450,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
8,2450,2449,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
9,2449,2441,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
10,2441,2447,600,599,0,0.0000,0.000000,0.000000,0.000000,0,
11,2447,2450,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
12,2450,2452,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
13,2452,2446,600,598,0,0.0000,0.000000,0.000000,0.000000,0,
14,2446,2440,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
15,2440,2438,600,600,1,0.0000,0.000000,0.000000,0.000000,0,
16,2438,2446,600,599,0,0.0000,0.000000,0.000000,0.000000,0,
17,2446,2437,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
18,2437,2444,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
19,2444,2445,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
20,2445,2453,600,600,0,0.0000,0.000000,0.000000,0.000000,0,
21,2453,2437,600,599,0,1.0000,0.000000,0.000000,0.000000,0,
22,2437,2435,600,600,0,1.7280,0.000000,0.000000,0.000000,0,
23,2435,2431,600,600,0,2.4883,0.000000,0.000000,0.000000,0,
24,2431,2433,600,599,0,3.0000,0.000000,0.000000,0.000000,0,
25,2433,2438,600,600,0,2.0736,0.000000,0.000000,0.000000,0,
26,2438,2453,600,600,14,2.0736,0.000000,0.000000,0.000000,0,
27,2453,2449,600,600,0,2.0000,0.000000,0.000000,0.000000,0,
28,2449,2447,600,600,0,1.4400,0.000000,0.000000,0.000000,0,
29,2447,2435,600,600,0,1.0000,0.000000,0.000000,0.000000,0,
30,2435,2436,600,600,2,0.0000,0.000000,0.000000,0.000000,0,
31,2436,2435,600,595,0,0.0000,0.000000,0.000000,0.000000,0,
32,2435,2446,600,599,0,0.0000,0.000000,0.000000,0.000000,0,
33,2446,2455,600,600,18,0.0000,-0.002484,-0.001520,-0.009567,1,
34,2455,2455,600,600,13,0.0000,-0.002484,-0.001520,-0.009567,0,
35,2455,2453,600,594,41,0.0000,-0.005725,-0.002352,-0.018990,1,
36,2453,2438,600,600,4,1.0000,-0.005725,-0.002352,-0.018990,0,
37,2438,2446,600,599,9,1.7280,-0.005725,-0.002352,-0.018990,0,
38,2446,2439,600,594,37,2.6833,-0.007594,-0.003343,-0.028764,1,
39,2439,2446,600,596,43,3.2199,-0.010178,-0.003727,-0.038417,1,
40,2446,2429,600,596,12,3.6056,-0.010178,-0.003727,-0.038417,0,
41,2429,2429,600,599,0,3.8639,-0.010178,-0.003727,-0.038417,0,
42,2429,2429,600,597,0,4.5537,-0.010178,-0.003727,-0.038417,0,
43,2429,2433,600,600,20,6.4622,-0.013131,-0.004958,-0.047891,1,
44,2433,2423,600,598,0,4.5537,-0.013131,-0.004958,-0.047891,0,
45,2423,2417,600,597,0,4.4721,-0.013131,-0.004958,-0.047891,0,
46,2417,2413,600,596,0,3.1623,-0.013131,-0.004958,-0.047891,0,
47,2413,2387,600,594,7,2.8800,-0.013131,-0.004958,-0.047891,0,
48,2387,2393,600,597,19,2.6833,-0.012139,-0.006576,-0.057709,1,
49,2393,2410,600,597,22,2.4438,-0.014398,-0.007945,-0.067354,1,
50,2410,2399,600,596,27,2.4438,-0.016109,-0.009273,-0.077117,1,
51,2399,2401,600,593,0,2.4438,-0.016109,-0.009273,-0.077117,0,
52,2401,2384,600,597,16,2.4000,-0.017736,-0.011159,-0.086802,1,
53,2384,2380,600,595,23,1.7280,-0.019548,-0.012553,-0.096537,1,
54,2380,2394,600,589,3,1.4142,-0.019548,-0.012553,-0.096537,0,
55,2394,2371,600,600,2,0.0000,-0.019548,-0.012553,-0.096537,0,
56,2371,2371,600,600,3,0.0000,-0.019548,-0.012553,-0.096537,0,
57,2371,2370,600,598,358,0.0000,-0.027402,-0.006660,-0.098430,1,
58,2370,2387,600,598,0,0.0000,-0.027402,-0.006660,-0.098430,0,
59,2387,2390,600,600,0,0.0000,-0.027402,-0.006660,-0.098430,0,
60,2390,2383,600,600,0,0.0000,-0.027402,-0.006660,-0.098430,0,
61,2383,2374,600,600,0,0.0000,-0.027402,-0.006660,-0.098430,0,
62,2374,2355,600,600,0,0.0000,-0.027402,-0.006660,-0.098430,0,
63,2355,2365,600,599,0,0.0000,-0.027402,-0.006660,-0.098430,0,
64,2365,2363,600,600,0,0.0000,-0.027402,-0.006660,-0.098430,0,
65,2363,2358,600,600,0,0.0000,-0.027402,-0.006660,-0.098430,0,
66,2358,2359,600,600,0,0.0000,-0.027402,-0.006660,-0.098430,0,
67,2359,2354,600,600,0,0.0000,-0.027402,-0.006660,-0.098430,0,
68,2354,2368,600,600,0,0.0000,-0.027402,-0.006660,-0.098430,0,
69,2368,2352,600,599,1,0.0000,-0.027402,-0.006660,-0.098430,0,
70,2352,2349,600,600,0,0.0000,-0.027402,-0.006660,-0.098430,0,
71,2349,2349,600,600,0,0.0000,-0.027402,-0.006660,-0.098430,0,
72,2349,2335,600,600,4,0.0000,-0.027402,-0.006660,-0.098430,0,
73,2335,2360,600,595,0,0.0000,-0.027402,-0.006660,-0.098430,0,
74,2360,2361,600,600,12,0.0000,-0.027402,-0.006660,-0.098430,0,
75,2361,2352,600,600,54,0.0000,-0.029782,-0.008831,-0.107897,1,
76,2352,2340,600,597,3,0.0000,-0.029782,-0.008831,-0.107897,0,
77,2340,2336,600,596,0,0.0000,-0.029782,-0.008831,-0.107897,0,
78,2336,2340,600,594,0,1.2000,-0.029782,-0.008831,-0.107897,0,
79,2340,2322,600,598,10,1.2000,-0.029782,-0.008831,-0.107897,0,
80,2322,2328,600,589,3,1.6971,-0.029782,-0.008831,-0.107897,0,
81,2328,2327,600,598,581,1.4400,-0.022667,-0.002247,-0.110355,1,
82,2327,2330,600,598,1,1.4400,-0.022667,-0.002247,-0.110355,0,
83,2330,2322,600,599,31,1.2000,-0.014443,0.001107,-0.114950,1,
84,2322,2306,600,599,7,1.4142,-0.014443,0.001107,-0.114950,0,
85,2306,2311,600,596,37,1.4400,-0.015176,-0.000573,-0.124781,1,
86,2311,2318,600,599,161,1.4142,-0.017426,-0.002380,-0.134355,1,
87,2318,2306,600,593,0,0.0000,-0.017426,-0.002380,-0.134355,0,
88,2306,2295,600,596,46,1.6970,-0.019064,-0.004057,-0.144076,1,
89,2295,2290,600,599,0,1.4142,-0.019064,-0.004057,-0.144076,0,
90,2290,2288,600,599,15,0.0000,-0.015829,-0.005221,-0.153467,1,
91,2288,2278,600,594,8,0.0000,-0.015829,-0.005221,-0.153467,0,
92,2278,2275,600,599,13,1.0000,-0.015829,-0.005221,-0.153467,0,
