img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-13.159083,5.728262,-47.566918,-4.433490,-5.005514,-49.400575,7.371237,8.056306,8.415538,0
20260121172000.JPG,20260121172126.JPG,1.147073,-1.677424,-7.104478,-2.132629,0.422885,-8.343637,3.853546,2.359609,3.096139,0
20260121172007.JPG,20260121172027.JPG,3.285091,3.092451,18.063981,4.328899,1.543067,26.961797,9.159361,5.249167,40.194435,0
20260121171953.JPG,20260121172201.JPG,-3.937161,-4.648528,-23.026993,-5.950375,-3.181795,-16.840679,6.515685,3.850317,23.719131,0
20260121172007.JPG,20260121172151.JPG,-5.781869,1.542374,-32.545140,-6.896522,1.988496,-32.949437,1.032927,0.731421,3.203395,0
20260121171953.JPG,20260121172226.JPG,-0.361829,-1.659769,-3.319406,-0.674900,-2.012990,-4.882661,1.637788,0.942788,3.034997,0
20260121172013.JPG,20260121172146.JPG,-12.478777,1.825012,-56.713584,-19.443484,13.499201,-52.271256,8.483595,8.256879,9.984617,0
20260121152638.JPG,20260121172210.JPG,7.220419,3.913026,33.298863,8.891514,6.700233,39.638995,6.723649,4.113326,0.928292,0
20260121152658.JPG,20260121172017.JPG,3.400807,1.510247,15.818172,3.566259,1.040121,18.695274,2.927834,1.685834,9.595406,0
20260121152631.JPG,20260121172035.JPG,2.544865,1.648510,11.095028,2.329418,7.117717,9.842450,5.652838,3.241790,40.256007,1
20260121152638.JPG,20260121172022.JPG,19.057874,12.611540,61.475021,23.806215,19.990952,64.022220,4.600529,5.275436,3.146159,0
20260121172035.JPG,20260121172118.JPG,-9.733691,4.870749,-35.977083,-3.879355,-1.763551,-3.775041,32.960483,19.280894,48.556519,0
20260121172057.JPG,20260121172126.JPG,-0.650427,-5.381516,-22.884487,-5.371060,-0.475718,-28.548641,7.634073,5.113181,3.646691,0
