img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-13.159083,5.728262,-47.566918,-12.009388,5.115706,-50.834041,3.362182,2.030691,2.876742,0
20260121172000.JPG,20260121172126.JPG,1.147073,-1.677424,-7.104478,-2.169117,2.297655,-7.869979,4.893281,3.021278,5.362839,0
20260121172007.JPG,20260121172027.JPG,3.285091,3.092451,18.063981,3.486969,0.493265,21.197375,4.118931,2.353344,21.699851,0
20260121171953.JPG,20260121172201.JPG,-3.937161,-4.648528,-23.026993,-6.376063,0.443327,-22.452623,4.754029,3.276437,18.448632,0
20260121172007.JPG,20260121172151.JPG,-5.781869,1.542374,-32.545140,-7.085357,1.507120,-33.469730,1.614069,0.922892,3.517903,0
20260121171953.JPG,20260121172226.JPG,-0.361829,-1.659769,-3.319406,-0.985332,-0.726970,-3.967351,1.266792,0.748042,1.366674,0
20260121172013.JPG,20260121172146.JPG,-12.478777,1.825012,-56.713584,-19.692455,11.367268,-61.082935,6.646311,7.352619,6.493169,0
20260121152638.JPG,20260121172210.JPG,7.220419,3.913026,33.298863,8.268428,3.012330,33.989977,1.852871,0.892041,2.251525,0
20260121152658.JPG,20260121172017.JPG,3.400807,1.510247,15.818172,3.751540,1.026540,17.538406,1.847579,1.051379,8.171746,0
20260121152631.JPG,20260121172035.JPG,2.544865,1.648510,11.095028,2.604803,0.046224,11.909471,1.809002,1.038305,2.233646,0
20260121152638.JPG,20260121172022.JPG,19.057874,12.611540,61.475021,22.397310,14.838585,67.361701,6.109679,4.113578,2.875845,0
20260121172035.JPG,20260121172118.JPG,-9.733691,4.870749,-35.977083,-1.336990,-2.142052,-4.056861,33.084120,19.481483,50.852711,0
20260121172057.JPG,20260121172126.JPG,-0.650427,-5.381516,-22.884487,-4.931296,1.191783,-23.205924,6.292013,4.532748,6.232757,0
20260121152631.JPG,20260121172151.JPG,-4.459975,1.208335,-27.808188,-5.653126,1.012650,-27.014914,1.518599,0.834902,1.984708,0
20260121172022.JPG,20260121172126.JPG,-1.967887,-4.195446,-37.875121,-8.000081,2.695099,-44.072735,8.224010,6.384288,3.862507,0
20260121172022.JPG,20260121172210.JPG,-5.764927,2.086254,-28.658868,-3.379300,-2.022010,-31.106130,4.334304,3.085350,7.017714,0
20260121172035.JPG,20260121172226.JPG,-3.454607,1.194966,-15.156105,-3.373758,0.530604,-17.623599,2.550697,1.476080,2.091654,0
20260121172000.JPG,20260121172110.JPG,3.280552,4.814008,14.724380,3.104283,0.156876,17.913385,5.605595,3.260353,12.703561,0
20260121152638.JPG,20260121172102.JPG,11.557721,6.161711,46.304091,13.743774,7.744609,52.245557,6.109964,3.767644,1.399450,0
20260121172007.JPG,20260121172102.JPG,-0.832778,1.195564,-5.757894,-0.572114,0.022832,-4.753914,1.547636,0.903921,6.038815,0
20260121172013.JPG,20260121172022.JPG,-1.560885,-2.409449,-10.753066,-2.368044,-0.836756,-10.563327,1.640510,1.026462,8.390625,0
20260121172110.JPG,20260121172155.JPG,-4.173773,-1.365555,-27.563832,-6.358981,1.763728,-28.953079,3.165555,2.345034,4.650993,0
20260121172155.JPG,20260121172210.JPG,2.363855,2.698754,14.311665,2.544553,0.010169,13.879635,2.772073,1.575626,6.550048,0
20260121172057.JPG,20260121172118.JPG,-6.133120,2.734260,-24.814843,-5.017899,0.933581,-24.149827,1.806614,1.281719,3.448976,0
20260121152644.JPG,20260121172151.JPG,-0.782600,11.569574,-4.783209,-0.178680,-0.912482,-2.970085,12.586502,7.290493,12.316343,0
20260121152638.JPG,20260121172057.JPG,11.824757,6.705788,47.016196,13.288512,8.102187,50.623238,3.744940,2.387695,3.130549,0
20260121172022.JPG,20260121172219.JPG,-3.076146,0.342088,-18.262410,-1.673195,-3.662321,-19.197689,3.907579,2.508539,8.123016,0
20260121152658.JPG,20260121152708.JPG,-3.577000,4.979262,-13.416407,-2.856667,1.053548,-17.980920,5.935115,3.500709,7.571324,0
20260121172057.JPG,20260121172201.JPG,-4.487680,-2.339517,-23.583668,-6.344697,0.831473,-21.885347,3.440153,2.337233,6.094897,0
20260121152631.JPG,20260121152644.JPG,1.427955,-11.708364,-23.248013,-6.979898,5.406781,-25.309980,15.781325,11.073570,10.671743,0
20260121172035.JPG,20260121172151.JPG,-7.620771,1.552856,-38.879464,-10.766032,5.814743,-39.506414,3.391827,3.079471,3.319813,0
20260121172027.JPG,20260121172057.JPG,-3.982827,-0.426877,-23.101746,-4.437461,1.186869,-25.006671,2.416862,1.465106,8.364128,0
20260121172007.JPG,20260121172219.JPG,-1.622726,0.834536,-8.403402,-1.932066,-0.490146,-10.325118,2.382571,1.359346,6.633751,0
20260121172013.JPG,20260121172226.JPG,-5.664061,-0.198409,-29.349243,-8.984975,3.048094,-26.935081,4.149687,3.021943,6.438945,0
20260121172118.JPG,20260121172146.JPG,-1.230107,-3.716216,-6.087992,-1.921971,0.275100,-9.829395,5.443944,3.183676,14.013570,0
20260121152708.JPG,20260121172027.JPG,9.079148,0.527916,37.324838,9.820883,3.516209,45.488710,8.554429,5.037488,7.924602,0
20260121152631.JPG,20260121172146.JPG,-5.685118,0.771858,-31.470674,-6.883208,0.577818,-32.938893,1.968873,1.099809,1.151034,0
20260121172118.JPG,20260121172201.JPG,-0.499857,-4.501501,1.634549,-0.040140,-0.455475,0.995570,4.111487,2.379773,17.844066,1
20260121172017.JPG,20260121172219.JPG,-3.305408,-0.455267,-18.401694,-1.285192,-4.706101,-21.905733,5.338739,3.387682,12.439439,0
20260121172022.JPG,20260121172226.JPG,-3.582501,1.507508,-18.651724,-3.522141,2.436910,-24.669520,6.092777,3.515741,2.744764,0
20260121172017.JPG,20260121172052.JPG,-0.687345,1.799703,-0.436812,-0.260851,-0.088878,-2.263197,2.654436,1.536698,9.536486,0
20260121172013.JPG,20260121172110.JPG,-4.648474,-0.751304,-26.316612,-5.196023,1.075402,-30.994428,4.955506,2.916541,6.109633,0
20260121172110.JPG,20260121172226.JPG,-0.763632,0.234934,-3.062787,-1.190500,0.156401,-5.502579,2.479102,1.430730,9.148522,0
20260121172201.JPG,20260121172210.JPG,2.846932,3.558124,9.435842,2.293248,0.519378,10.628465,3.221224,1.911622,64.083395,0
20260121152638.JPG,20260121152644.JPG,-0.861839,-11.786128,25.051016,4.344382,1.122863,25.751597,11.682616,8.046481,20.219693,0
20260121172007.JPG,20260121172146.JPG,-7.021496,1.185750,-36.215435,-8.853651,2.486883,-38.907282,3.063987,2.024498,3.267492,0
20260121152708.JPG,20260121172102.JPG,3.256834,-3.812982,13.744926,3.738892,0.517317,19.781050,7.361817,4.298010,12.008733,0
20260121152708.JPG,20260121172110.JPG,3.112226,-3.356442,13.705400,3.596710,0.456492,20.249114,7.516506,4.381529,10.356543,0
20260121152638.JPG,20260121152658.JPG,10.423488,5.519759,46.278978,11.352061,6.611278,47.227746,1.215392,0.992274,2.480930,0
20260121152631.JPG,20260121172027.JPG,4.691160,3.914246,22.755235,5.756978,-1.474068,24.472263,6.141351,3.322553,7.636622,0
