img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-12.009388,5.115706,-50.834041,7.646923,4.936348,7.170989,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.583634,-0.074054,-6.872889,4.180395,2.407874,2.777579,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,3.439994,0.560990,21.127592,4.491885,2.452674,22.812760,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-6.362261,0.419024,-22.440330,4.926008,2.993768,11.373988,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-7.024469,1.444979,-33.332702,0.378369,0.256252,0.355803,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.912557,-0.169495,-4.908238,1.579386,0.925888,2.464133,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-19.692455,11.367268,-61.082935,2.709546,3.036426,2.283540,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,6.676363,1.860353,30.427966,4.424943,2.805369,1.580653,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,3.740717,1.207324,17.589591,1.268187,0.688308,3.978614,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,1.684174,4.720687,13.024731,6.318091,3.470818,44.670164,1
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,22.397310,14.838585,67.361701,2.141971,1.728966,0.902885,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-1.336990,-2.142052,-4.056861,30.156594,17.739849,50.979294,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.948346,1.290215,-23.068949,3.665592,2.365995,2.750220,0
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-3.676012,-4.486849,-25.879336,5.379794,3.553797,2.876043,0
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,-8.000081,2.695099,-44.072735,5.377728,4.294320,4.043158,0
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,-3.379300,-2.022010,-31.106130,5.524846,4.335289,6.839722,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-3.620852,1.055240,-18.168783,0.588492,0.339346,0.552705,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.162153,0.370746,17.817928,3.671750,2.074105,8.076191,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,13.743774,7.744609,52.245557,1.794592,1.111217,0.593236,0
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.541367,-0.076613,-4.793775,1.370765,0.811181,6.109865,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-2.364357,-0.839620,-10.563698,1.355753,0.848990,6.170620,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.354034,1.710433,-29.000420,1.941369,1.141586,1.609964,0
20260121172155.JPG,20260121172210.JPG,2.586306,0.460391,13.891059,2.568213,0.065980,13.919650,0.391504,0.228550,0.959907,0
20260121172057.JPG,20260121172118.JPG,-5.730474,2.882077,-21.528430,-4.998557,0.952359,-23.994108,3.040627,1.856438,4.925213,0
20260121152644.JPG,20260121172151.JPG,0.394544,3.188229,0.683909,0.249947,0.183612,3.238262,3.942348,2.278402,17.148183,1
20260121152638.JPG,20260121172057.JPG,12.891375,7.164342,50.296084,13.288512,8.102187,50.623238,0.754879,0.617604,0.884006,0
20260121172022.JPG,20260121172219.JPG,-4.071383,2.018837,-21.453486,-2.974820,-1.656594,-19.758765,3.839908,2.420973,3.756973,0
20260121152658.JPG,20260121152708.JPG,-3.342561,1.086888,-21.588871,-2.855752,0.891376,-18.150828,3.468509,2.007930,0.995840,0
20260121172057.JPG,20260121172201.JPG,-7.098818,4.507842,-26.071616,-6.105736,-1.679362,-15.846114,11.803471,6.924078,17.735567,0
20260121152631.JPG,20260121152644.JPG,-4.174970,-2.706613,-29.297042,-0.470948,0.942595,-1.752060,28.152107,16.183968,22.611279,1
20260121172035.JPG,20260121172151.JPG,-10.215473,4.861906,-40.176881,-10.766032,5.814743,-39.506414,0.994152,0.743985,0.892915,0
20260121172027.JPG,20260121172057.JPG,-5.623080,2.614731,-22.689622,-4.437461,1.186869,-25.006671,2.728305,1.713981,7.517262,0
20260121172007.JPG,20260121172219.JPG,-1.354959,-1.302945,-11.050062,-2.149389,0.635671,-10.667700,1.988767,1.229573,3.022001,0
20260121172013.JPG,20260121172226.JPG,-8.670362,4.631258,-32.134874,-7.869555,2.927673,-34.385201,2.666546,1.693858,3.904558,0
20260121172118.JPG,20260121172146.JPG,-2.378762,-1.305195,-13.373273,-2.035948,-0.105570,-9.736102,3.866507,2.220032,3.563547,0
20260121152708.JPG,20260121172027.JPG,10.058210,1.694126,46.559227,9.850868,4.163914,45.519406,2.821547,1.551781,4.129392,0
20260121152631.JPG,20260121172146.JPG,-7.297163,0.791076,-34.643400,-6.783782,0.218942,-33.505091,1.247995,0.793020,0.643346,0
20260121172118.JPG,20260121172201.JPG,-0.752630,1.002311,-4.674287,0.052674,0.452578,-1.000988,3.794691,2.194224,11.577737,0
20260121172017.JPG,20260121172219.JPG,-4.351162,1.286611,-21.745218,-5.016101,2.631730,-23.623064,2.255587,1.387779,0.341876,0
20260121172022.JPG,20260121172226.JPG,-4.410777,2.694155,-22.305913,-3.633356,2.381633,-24.235925,2.057898,1.214770,1.698634,0
20260121172017.JPG,20260121172052.JPG,0.745437,-1.467544,-3.746434,-0.242660,-0.103925,-2.258211,2.215683,1.297511,6.700396,0
20260121172013.JPG,20260121172110.JPG,-6.795079,3.290017,-24.323172,-5.177106,1.002646,-31.330050,7.312926,4.356843,11.008467,0
20260121172110.JPG,20260121172226.JPG,-1.253710,0.207591,-7.897613,-1.191283,0.067376,-5.459997,2.442025,1.410145,5.726922,0
20260121172201.JPG,20260121172210.JPG,2.477734,-1.562775,10.138577,2.291754,0.335271,10.733869,2.029628,1.153479,38.187166,0
20260121152638.JPG,20260121152644.JPG,3.147524,-0.243530,21.201967,4.336747,1.124435,25.823603,4.831652,2.866188,3.068048,0
20260121172007.JPG,20260121172146.JPG,-9.063122,2.013966,-39.792440,-8.858568,2.468910,-38.931935,1.052294,0.574249,0.994676,0
