img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-13.458015,7.125919,-50.207606,6.657778,3.971670,5.890488,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.579069,-0.074295,-6.864895,4.188815,2.412697,2.787870,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,3.385571,0.542412,19.995485,3.790585,2.018425,19.697192,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-6.362261,0.419024,-22.440330,4.926008,2.993768,11.373988,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-7.024469,1.444979,-33.332702,0.378369,0.256252,0.355803,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.910358,-0.154664,-4.922354,1.559863,0.914745,2.414552,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,6.676363,1.860353,30.427966,4.424943,2.805369,1.580653,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,3.752788,0.980629,17.743728,1.033878,0.555227,3.324429,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,2.546039,0.018118,11.779493,1.358287,0.722305,1.672980,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-8.338538,2.529810,-37.587838,4.752282,2.844405,3.696574,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.948346,1.290215,-23.068949,3.665592,2.365995,2.750220,0
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-3.676012,-4.486849,-25.879336,5.379794,3.553797,2.876043,0
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,-3.761131,2.060070,-12.962559,28.558219,16.942625,55.175363,1
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,-8.130953,0.485335,-19.853891,12.267537,7.014284,9.569718,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-3.620852,1.055240,-18.168783,0.588492,0.339346,0.552705,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.162128,0.370789,17.816999,3.671244,2.073803,8.075437,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,13.597960,7.640167,51.701988,1.245815,0.783669,0.541133,0
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.539760,-0.108176,-4.768809,1.338435,0.792383,5.927942,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-2.371101,-0.831941,-10.563245,1.347068,0.843401,6.132037,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.354034,1.710433,-29.000420,1.941369,1.141586,1.609964,0
20260121172155.JPG,20260121172210.JPG,2.586306,0.460391,13.891059,2.569578,0.065063,13.897691,0.391704,0.228479,0.961257,0
20260121172057.JPG,20260121172118.JPG,-5.730474,2.882077,-21.528430,-5.142296,1.013445,-24.640605,3.558148,2.123156,4.986302,0
20260121152644.JPG,20260121172151.JPG,0.394544,3.188229,0.683909,0.250875,0.885246,2.981347,3.252801,1.879946,17.731570,1
20260121152638.JPG,20260121172057.JPG,12.891375,7.164342,50.296084,12.946005,7.322086,50.945036,0.660063,0.386870,0.513342,0
20260121172022.JPG,20260121172219.JPG,-4.071383,2.018837,-21.453486,-2.974820,-1.656594,-19.758765,3.839908,2.420973,3.756973,0
20260121152658.JPG,20260121152708.JPG,-3.342561,1.086888,-21.588871,-2.855752,0.891376,-18.150828,3.468509,2.007930,0.995840,0
20260121172057.JPG,20260121172201.JPG,-7.098818,4.507842,-26.071616,-6.310505,0.814220,-22.284786,5.119902,3.087845,7.266248,0
20260121152631.JPG,20260121152644.JPG,-4.174970,-2.706613,-29.297042,-7.062764,5.428164,-25.673068,8.119368,5.405156,5.283162,0
20260121172035.JPG,20260121172151.JPG,-10.215473,4.861906,-40.176881,-11.583375,6.646150,-41.230997,1.726904,1.433625,1.192857,0
20260121172027.JPG,20260121172057.JPG,-5.623080,2.614731,-22.689622,-4.426827,1.207141,-25.072699,2.779814,1.740822,7.529077,0
20260121172007.JPG,20260121172219.JPG,-1.354959,-1.302945,-11.050062,-2.145687,-0.059435,-10.689759,1.389425,0.875859,2.005556,0
20260121172013.JPG,20260121172226.JPG,-8.670362,4.631258,-32.134874,-7.869555,2.927673,-34.385201,2.666546,1.693858,3.904558,0
20260121172118.JPG,20260121172146.JPG,-2.378762,-1.305195,-13.373273,-2.035948,-0.105570,-9.736102,3.866507,2.220032,3.563547,0
20260121152708.JPG,20260121172027.JPG,10.058210,1.694126,46.559227,9.850868,4.163914,45.519406,2.821547,1.551781,4.129392,0
20260121152631.JPG,20260121172146.JPG,-7.297163,0.791076,-34.643400,-6.783782,0.218942,-33.505091,1.247995,0.793020,0.643346,0
20260121172118.JPG,20260121172201.JPG,-0.752630,1.002311,-4.674287,0.052629,0.452418,-1.000918,3.794771,2.194270,11.578065,0
20260121172017.JPG,20260121172219.JPG,-4.351162,1.286611,-21.745218,-5.306230,3.583522,-24.246804,3.275766,2.036818,0.205121,0
20260121172022.JPG,20260121172226.JPG,-4.410777,2.694155,-22.305913,-3.633356,2.381633,-24.235925,2.057898,1.214770,1.698634,0
20260121172017.JPG,20260121172052.JPG,0.745437,-1.467544,-3.746434,-0.268241,-0.070968,-2.279507,2.231771,1.307650,6.686807,0
20260121172013.JPG,20260121172110.JPG,-6.795079,3.290017,-24.323172,-5.176827,1.002147,-31.333115,7.315975,4.358608,11.011796,0
20260121172110.JPG,20260121172226.JPG,-1.253710,0.207591,-7.897613,-1.187165,0.031987,-5.447798,2.456448,1.418551,5.670389,0
20260121172201.JPG,20260121172210.JPG,2.477734,-1.562775,10.138577,2.277451,0.349682,10.771934,2.058572,1.168866,38.914563,0
20260121152638.JPG,20260121152644.JPG,3.147524,-0.243530,21.201967,4.336747,1.124435,25.823603,4.831652,2.866188,3.068048,0
20260121172007.JPG,20260121172146.JPG,-9.063122,2.013966,-39.792440,-8.858568,2.468910,-38.931935,1.052294,0.574249,0.994676,0
20260121152708.JPG,20260121172102.JPG,4.238059,0.071860,23.960980,3.711588,0.442310,19.773713,4.253556,2.445922,2.526902,0
20260121152708.JPG,20260121172110.JPG,4.315584,0.615014,24.547630,3.539430,0.430787,20.091716,4.514706,2.613524,0.987445,0
20260121152638.JPG,20260121152658.JPG,11.728360,6.782324,48.158896,10.420356,4.549031,47.659684,1.616181,1.521807,1.198028,0
20260121152631.JPG,20260121172027.JPG,5.875189,-1.727360,23.189900,-0.670378,2.874707,1.920256,22.996391,13.120229,31.279137,1
20260121172022.JPG,20260121172027.JPG,2.264169,0.030052,7.508276,2.117738,0.788676,7.660345,0.805853,0.454634,26.678734,0
20260121152638.JPG,20260121172226.JPG,10.805561,5.842616,43.244108,3.959183,-9.215087,43.817343,11.479770,9.555730,8.441930,0
20260121152631.JPG,20260121172000.JPG,-3.337001,2.144572,-14.342958,-3.953057,3.984856,-12.569625,2.526438,1.517770,2.229740,0
20260121172027.JPG,20260121172126.JPG,-16.452578,11.762557,-47.585274,-12.740989,6.723674,-47.945707,3.405533,3.619215,2.677584,0
20260121152644.JPG,20260121172007.JPG,7.862624,5.991520,34.111544,6.669001,2.223923,30.673543,4.755550,3.024311,3.685431,0
20260121172007.JPG,20260121172035.JPG,2.001117,-1.056500,6.840894,1.573325,-0.082123,7.342532,1.219413,0.679229,5.520196,0
20260121172126.JPG,20260121172155.JPG,-0.629300,-1.684667,-4.236561,-0.897180,-0.054441,-5.049428,1.821923,1.063039,6.760910,0
20260121172126.JPG,20260121172151.JPG,-0.611469,-1.431574,-2.878468,-0.744750,-0.828521,-5.337212,2.532842,1.463656,13.903382,0
20260121172007.JPG,20260121172022.JPG,2.339321,-2.343949,10.468874,1.529818,-0.854627,11.090267,1.926244,1.042354,8.911591,0
20260121152708.JPG,20260121172022.JPG,6.878134,0.347029,39.115822,6.471270,2.271372,37.320352,2.839156,1.537568,4.184058,0
20260121152658.JPG,20260121172126.JPG,-5.258847,3.467666,-23.563047,-4.033449,0.728291,-21.414605,3.324475,2.130851,3.223421,0
20260121172102.JPG,20260121172126.JPG,-6.646023,4.275183,-25.820014,-5.090092,1.077907,-23.516232,3.714280,2.446147,3.803869,0
20260121172022.JPG,20260121172057.JPG,-2.944193,1.622981,-15.268962,-2.747383,1.567564,-16.593492,1.337982,0.773775,2.549557,0
20260121152708.JPG,20260121172118.JPG,-0.901822,1.276127,2.084636,1.533544,0.373647,4.179156,3.372209,1.926352,19.486582,1
20260121172027.JPG,20260121172102.JPG,-5.378306,2.580215,-22.495916,-4.298266,0.969339,-19.861847,3.072747,1.888539,5.978073,0
